#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
INSULT_PIGFACE;pigface;de face de cochon;[Root.GetGesichtskrapfenHackfresse];;caracerdo;;;;;;;;;x # child - chaste gluttonous
RIP.11709.a;Knowledge is power!;Savoir, c'est pouvoir !;Wissen ist Macht!;;¡El conocimiento es poder!;;;;;;;;;x
RIP.11709.b;Money is power!;Avoir de l'argent, c'est pouvoir !;Geld ist Macht!;;¡El dinero es poder!;;;;;;;;;x
RIP.11710.d;The prosperity of [Root.GetName] has prompted an increasing desire for a Great Library in the country so that learned people there can always find entertainment.;La prospérité de [Root.GetName] suscite un désir croissant d'avoir une grande bibliothèque afin que les personnes savantes puissent toujours avoir de quoi étudier.;Der Wohlstand von [Root.GetName] lässt den Ruf nach einer großen Bibliothek im Land lauter werden, damit belesene Bürger stets Unterhaltung finden können.;;La prosperidad de [Root.GetName] ha dado lugar a un deseo mayor de una Gran Biblioteca en el país para que la gente instruida siempre pueda encontrar entretenimiento.;;;;;;;;;x
RIP.11711.d;As people flock to [Root.GetName], so too do the clergy. In fact, so many have arrived that with a donation to get them started, [Root.GetName] could become a notable center of worship.;Puisque des gens affluent en [Root.GetName], alors des religieux aussi. En fait, plusieurs sont arrivés avec une donation pour les aider à démarrer. [Root.GetName] pourrait ainsi devenir un centre religieux notable.;Je mehr Menschen nach [Root.GetName] kommen, desto mehr Geistliche finden sich dort ein. Es fänden sich sogar genügend, um [Root.GetName] mithilfe einer Spende zu einem bedeutsamen Zentrum des Glaubens zu machen.;;Según acude la gente a[Root.GetName] , también lo hace el clero. De hecho, han llegado tantos que con una donación para ponerlos en marcha, [Root.GetName] podría ser un centro notable de culto.;;;;;;;;;x
RIP.11711.a;[Root.Religion.GetHighGodNameCap] wills it!;[Root.Religion.GetHighGodNameCap] le veut !;[Root.Religion.GetHighGodNameCap] will es!;;¡[Root.Religion.GetHighGodNameCap] lo desea!;;;;;;;;;x
RIP.11711.b;Will [Root.Religion.GetHighGodNameCap] pay for it?;Sera-ce [Root.Religion.GetHighGodNameCap] qui paiera pour ceci ?;Wird [Root.Religion.GetHighGodNameCap] für die Kosten aufkommen?;;¿[Root.Religion.GetHighGodNameCap] lo pagará?;;;;;;;;;x
jewish_settlement_province;Jewish Settlement;Communauté juive;Jüdische Siedlung;;Asentamiento judío;;;;;;;;;x
glorious_monument_province;Glorious Monument;Monument glorieux;Glorreiches Denkmal;;Monumento glorioso;;;;;;;;;x
merchant_harbor_province;Merchant Harbor;Port marchand;Handelshafen;;Puerto mercante;;;;;;;;;x
scholar_foundation_province;Scholar's Foundation;Fondation pour la science;Stiftung für Bildung;;Fundación de eruditos;;;;;;;;;x
great_library_province;Great Library;Grande bibliothèque;Große Bibliothek;;Gran biblioteca;;;;;;;;;x
center_of_worship_province;Center of Worship;Centre religieux;Zentrum des Glaubens;;Centro de culto;;;;;;;;;x
RIP.11713.d;Some buffoon has built a big statue of themselves here. Tearing it down and selling the gold-plating should fetch a few coins.;Un certain bouffon a construit une grande statue à son effigie. Sa démolition et la vente de la couche d'or devraient rapporter un peu d'argent.;Irgendein Schaumschläger hat hier eine große Statue nach seinem Abbild errichten lassen. Sie niederzureißen und die Goldbeschichtung zu verkaufen, sollte ein paar Münzen einbringen.;;Algún bufón ha plantado aquí una gran estatua de sí mismo. Derribarla y vender el chapado de oro nos daría algunas monedas.;;;;;;;;;x
#set_crown_focus_named;Set Crown Focus;Établir comme intérêt de la Couronne;Kronenfokus festlegen;;Fijar Enfoque de la corona;;;;;;;;;x
#unset_crown_focus_named;Remove Crown Focus;Retirer comme intérêt de la Couronne;Kronenfokus entfernen;;Retirar Enfoque de la corona;;;;;;;;;x
ENFORCE_PEACE_BUTTON_DESC_INSTANT;Enforcing Realm Peace will end all internal wars between your direct vassals. The peace will take effect 3 months after it has been decreed, and will last for five years. Use this ability to keep your vassals from growing too strong within your realm.;Imposer la paix dans le pays mettra un terme aux conflits internes entre vos vassaux directs. La paix prendra effet 3 mois après qu'elle soit édictée et durera cinq ans. Utilisez cette aptitude pour empêcher vos vassaux de devenir trop puissants au sein de votre territoire.;Bei der Durchsetzung des Reichsfriedens werden alle reichsinternen Kriege zwischen Euren direkten Vasallen beendet. Der Frieden tritt 3 Monate nach dem Beschluss in Kraft und dauert 5 Jahre lang an. Ihr könnt mit dieser Maßnahme verhindern, dass einzelne Vasallen zu stark werden.;;Implantar Paz del Reino terminará todas las guerras internas entre tus vasallos directos. La paz tardará tres meses en hacer efecto desde que se promulgue y durará cinco años. Usa esta habilidad para impedir que tus vasallos se vuelvan demasiado poderosos dentro de tu reino.;;;;;;;;;x
nick_the_nun;the Nun;la Nonne;die Nonne;;la Monja;;;;;;;;;x
DEATH_EXECUTION_LION;was mauled to death by a lion on the order of $KILLER$;a été déchiqueté[GetNoneE] par un lion, sur ordre de $KILLER$;wurde auf Geheiß von $KILLER$ einem Löwen zum Fraß vorgeworfen;;fue atacado hasta morir por un león por orden de $KILLER$;;;;;;;;;x
DEATH_EXECUTION_LION_NO_KILLER;was mauled to death by a lion;a été déchiqueté[GetNoneE] par un lion;wurde einem Löwen zum Fraß vorgeworfen;;fue atacado hasta morir por un león;;;;;;;;;x
#is_inaccessible_tooltip;Is NOT in Hiding or in Seclusion\n;Ne se cache pas et ne vit pas en réclusion\n;Versteckt sich NICHT und lebt NICHT in Klausur\n;;No está Escondido o Recluido\n;;;;;;;;;x
pet_cat_desc;Your adorable cat purrs softly when you are close and is always there to comfort you and keep you warm.;Votre adorable chat ronronne doucement quand vous êtes à proximité et est toujours là pour vous réconforter et vous garder au chaud.;Eure putzige Katze schnurrt sanft, wenn Ihr Euch in ihrer Nähe befindet und ist immer da, um Euch zu trösten und zu wärmen.;;Tu adorable gatito ronronea suavemente cuando estás cerca y está siempre allí para reconfortarte y mantenerte caliente.;;;;;;;;;x
execute_eat;Devour Imprisoned;Dévorer le prisonnier;Eingekerkerten verspeisen;;Devorar al prisionero/a;;;;;;;;;x
execute_eat_desc;As [Root.GetTitledFirstName] is your prisoner you can do as you please with [Root.GetHerHim]. Why not invite [Root.GetHerHim] to dinner...;Puisque [Root.GetTitledFirstName] est dans votre prison, vous pouvez faire ce qu'il vous plaît avec [Root.GetLuiElle]. Pourquoi ne pas l'inviter à dîner ?;Da [Root.GetTitledFirstName] Euer Gefangener ist, könnt Ihr tun und lassen, was Ihr wollt. Ihr könntet [Root.GetTitledFirstName] zum Beispiel zum Abendessen einladen ...;;Como [Root.GetTitledFirstName] es tu prisionero/a, puedes hacer[Root.GetHerHim] lo que desees. ¿Y si [Root.GetHerHim] invito a la cena...?;;;;;;;;;x
DEATH_EXECUTION_EATEN;was voraciously devoured by $KILLER$;a été dévoré[GetNoneE] par $KILLER$;wurde von $KILLER$ heißhungrig verschlungen;;fue vorazmente devorado por $KILLER$;;;;;;;;;x
DEATH_EXECUTION_EATEN_NO_KILLER;was devoured;a été dévoré[GetNoneE];wurde verschlungen;;fue devorado;;;;;;;;;x
EVTDESC_RIP_11510;By consuming the very life force of [From.GetTitledFirstName], I've also gained a part of [From.GetHerHis] personality and strength!;En ingérant la force de vie de [From.GetTitledFirstName], j'ai obtenu une partie de sa personnalité et de sa puissance !;Ich habe [From.GetTitledFirstName] verspeist und sämtliche Lebenskraft in mir aufgenommen. Außerdem habe ich einen Teil der Persönlichkeit und Stärke von [From.GetTitledFirstName] gewonnen!;;¡Al consumir la fuerza vital de [From.GetTitledFirstName], he ganado una parte de [From.GetHerHis] fuerza y personalidad!;;;;;;;;;x
EVTOPTA_RIP_11510;Unlimited power!;Pouvoir sans limites !;Grenzenlose Macht!;;¡Poder ilimitado!;;;;;;;;;x
EVTDESC_RIP_11511;I've just received word that the mad cannibal [FromFrom.GetTitledName] has eaten my [GetFromRelation] [From.GetFirstName]! By [Root.Religion.GetRandomGodNameCap]! How could one do such a thing?!;Je viens juste d'apprendre que [FromFrom.GetLeLa] cannibale [FromFrom.GetTitledName] a mangé m[From.GetOnA] [GetFromRelation] [From.GetFirstName] ! Par [Root.Religion.GetRandomGodName] ! Comment quelqu'un peut-il faire une telle chose ?!;Ich habe soeben erfahren, dass [FromFrom.Getderdie] verrückte [FromFrom.GetKannibaleKannibalin] [FromFrom.GetTitledName] meine[From.GetnMale] [GetFromRelation] [From.GetFirstName] verspeist hat! Bei [Root.Religion.GetRandomGodNameCap]! Wie kann jemand nur so etwas tun?!;;Me acaban de contar que el caníbal loco de [FromFrom.GetTitledFirstName] se ha comido a mi [GetFromRelation] [From.GetFirstName]! ¡Por [Root.Religion.GetRandomGodNameCap]! ¡¿Cómo se puede hacer algo así?!;;;;;;;;;x
EVTOPTA_RIP_11511;This is outrageous!;C'est scandaleux !;Das ist ja unerhört!;;¡Esto es escandaloso!;;;;;;;;;x
crazy_cannibal;Crazy Cannibal;Folie cannibale;Verrückter Kannibale;;Caníbal loco.;;;;;;;;;x
crazy_cannibal_desc;This depraved character is known to be a vicious cannibal and doesn't even try to hide it!;Ce personnage dépravé est connu pour son cannibalisme et n'essaie même pas de le cacher !;Diese abscheuliche Person ist ein bekannter Kannibale und versucht noch nicht einmal, es zu verheimlichen!;;¡Este personaje depravado es conocido por ser un caníbal sanguinario y ni siquiera intenta esconderlo!;;;;;;;;;x
RULE_AI_INTRIGUE;§BWay of Life:§! AI Intrigue;Intrigue de l'IA (§BWay of Life§! - Mode de vie);§BWay of Life:§! KI-Intrigen;;§BWay of Life:§! Intriga IA;;;;;;;;;x
RULE_AI_INTRIGUE_ON_DESC;AI rulers with the Intrigue Focus will scheme and attempt to kidnap or murder other characters.;Les dirigeants gérés par l'IA ayant comme intérêt l'intrigue tenteront d'enlever ou de tuer d'autres personnages.;KI-Herrscher mit dem Intrigenfokus intrigieren und versuchen, andere Personen zu entführen oder zu ermorden.;;Los gobernantes IA con el Enfoque Intriga tramarán e intentarán secuestrar o asesinar a otros personajes.;;;;;;;;;x
RULE_AI_INTRIGUE_OFF_DESC;AI rulers will never pick the Intrigue Focus.;Les dirigeants gérés par l'IA ne choisiront jamais comme intérêt l'intrigue;KI-Herrscher wählen niemals den Intrigenfokus.;;Los gobernantes IA nunca elegirán el Enfoque Intriga.;;;;;;;;;x
HAS_SYMPTOM;$VICTIM|Y$ has $SYMPTOM|Y$;$VICTIM|Y$ a $SYMPTOM|Y$;$VICTIM|Y$ hat $SYMPTOM|Y$;;$VICTIM|Y$ tiene $SYMPTOM|Y$;;;;;;;;;x
HAS_SYMPTOM_NOT;$VICTIM|Y$ doesn't have $SYMPTOM|Y$;$VICTIM|Y$ n'a pas $SYMPTOM|Y$;$VICTIM|Y$ hat nicht: $SYMPTOM|Y$;;$VICTIM|Y$ no tiene $SYMPTOM|Y$;;;;;;;;;x
HAS_ANY_SYMPTOM;$VICTIM|Y$ has any symptom;$VICTIM|Y$ a n'importe quel symptôme;$VICTIM|Y$ hat beliebiges Symptom;;$VICTIM|Y$ tiene cualquier síntoma;;;;;;;;;x
HAS_ANY_SYMPTOM_NOT;$VICTIM|Y$ doesn't have any symptom;$VICTIM|Y$ n'a aucun symptôme;$VICTIM|Y$ hat keinerlei Symptome;;$VICTIM|Y$ no tiene ningún síntoma;;;;;;;;;x
PROVINCE_INFECTED_WITH;Is currently suffering epidemics of:;Subit actuellement l'épidémie de:;Leidet derzeit an Epidemien von:;;Está sufriendo epidemias de:;;;;;;;;;x
PROVINCE_PROTECTED_BY;Has $VALUE|G$% epidemics resistance;A $VALUE|G$% de résistance aux épidémies;Hat Widerstandskraft von $VALUE|G$ gegen Epidemien;;Tiene $VALUE|G$ resistencia a las epidemias;;;;;;;;;x
PROVINCE_MIGHT_GET;Might get the following diseases:;Pourrait attraper les maladies suivantes:;Könnte folgende Krankheiten bekommen:;;Puede tener las siguientes enfermedades:;;;;;;;;;x
PROVINCE_MIGHT_GET_LINE;- $VALUE|Y$ chances of getting $DISEASE|Y$;- $VALUE|Y$ chances d'attraper $DISEASE|Y$;- $VALUE|Y$ Wahrscheinlichkeit, $DISEASE|Y$ zu bekommen;;- $VALUE|Y$ posibilidades de tener $DISEASE|Y$;;;;;;;;;x
EPIDEMICS_TOOLTIP_TITLE;§YEpidemics§!;§YÉpidémies§!;§YEpidemien§!;;§YEpidemias§!;;;;;;;;;x
EPIDEMICS_TOOLTIP_TOTAL;The world is currently ravaged by $VALUE|Y$ epidemics, including $MAJOR|R$ MAJOR epidemics.;Le monde est actuellement ravagé par $VALUE|Y$ épidémies, dont $MAJOR|R$ épidémies majeures.;Die Welt wird aktuell von $VALUE|Y$ Epidemie(n) heimgesucht, darunter $MAJOR|R$ GROSSE Epidemie(n).;;El mundo está asolado por $VALUE|Y$ epidemias, incluyendo $MAJOR|R$ GRANDES epidemias.;;;;;;;;;x
EPIDEMICS_TOOLTIP_TOTAL_MAJOR_ONLY;The world is currently ravaged by $MAJOR|R$ MAJOR epidemics.;Le monde est actuellement ravagé par $MAJOR|R$ épidémies majeures.;Die Welt wird aktuell von $MAJOR|R$ GROSSEN Epidemie(n) heimgesucht.;;El mundo está asolado por $MAJOR|R$ GRANDES epidemias.;;;;;;;;;x
EPIDEMICS_TOOLTIP_TOTAL_MINOR_ONLY;The world is currently ravaged by $VALUE|Y$ epidemics.;Le monde est actuellement ravagé par $VALUE|Y$ épidémies.;Die Welt wird aktuell von $VALUE|Y$ Epidemie(n) heimgesucht.;;El mundo está asolado por $VALUE|Y$ epidemias.;;;;;;;;;x
EPIDEMICS_TOOLTIP_PLAYER_MAJOR_MINOR;Your own realm is ravaged by $MAJOR|R$ MAJOR epidemics and $MINOR|Y$ others;Votre propre pays est ravagé par $MAJOR|R$ épidémies majeures et $MINOR|Y$ autres.;Euer eigenes Reich wird von $MAJOR|R$ GROSSEN und $MINOR|Y$ anderen Epidemie(n) heimgesucht.;;Tu propio reino está asolado por $MAJOR|R$ GRANDES epidemias y otras $MINOR|Y$.;;;;;;;;;x
EPIDEMICS_TOOLTIP_PLAYER_MAJOR_ONLY;Your own realm is ravaged by $MAJOR|R$ MAJOR epidemics;Votre propre pays est ravagé par $MAJOR|R$ épidémies majeures.;Euer eigenes Reich wird von $MAJOR|R$ GROSSEN Epidemie(n) heimgesucht.;;Tu propio reino está asolado por $MAJOR|R$ GRANDES epidemias.;;;;;;;;;x
EPIDEMICS_TOOLTIP_PLAYER_MINOR_ONLY;Your own realm is ravaged by $MINOR|Y$ epidemics;Votre propre pays est ravagé par $MINOR|Y$ épidémies.;Euer eigenes Reich wird von $MINOR|Y$ Epidemie(n) heimgesucht.;;Tu propio reino está asolado por $MINOR|Y$ epidemias.;;;;;;;;;x
EPIDEMICS_TOOLTIP_DELAYED_PLAYER;The epidemics currently in your realm:;Les épidémies actuellement dans votre pays:;Aktuelle Epidemien in Eurem Reich:;;Las epidemias actuales en tu reino:;;;;;;;;;x
EPIDEMICS_TOOLTIP_DELAYED_VALUE;- $DISEASE$ started in $PROVINCE|Y$ in $START_DATE|Y$;- $DISEASE$ a débuté à $PROVINCE|Y$ le $START_DATE|Y$;- $DISEASE$ am $START_DATE|Y$ in $PROVINCE|Y$ ausgebrochen;;- $DISEASE$ comenzaron en $PROVINCE|Y$ en $START_DATE|Y$;;;;;;;;;x
EPIDEMICS_TOOLTIP_DELAYED_OTHERS;Other epidemics in the world:;Autres épidémies dans le monde:;Andere Epidemien in der Welt:;;Otras epidemias en el mundo:;;;;;;;;;x
EPIDEMICS_TOOLTIP_DELAYED_OTHERS_NOPLAYER;Epidemics currently ravaging  the world:;Les épidémies ravageant actuellement le monde:;Epidemien, die aktuell die Welt heimsuchen:;;Epidemias asolando el mundo en la actualidad:;;;;;;;;;x
HAS_LESS_THAN_SYMPTOMS;$VICTIM|Y$ has less than $VALUE$ symptom(s);$VICTIM|Y$ a moins de $VALUE$ symptôme(s);$VICTIM|Y$ hat weniger als $VALUE$ Symptom(e).;;$VICTIM|Y$ tiene menos de $VALUE$ síntoma(s);;;;;;;;;x
HAS_AT_LEAT_SYMPTOMS;$VICTIM|Y$ has $VALUE$ symptom(s) or more;$VICTIM|Y$ a $VALUE$ symptôme(s) ou plus;$VICTIM|Y$ hat $VALUE$ oder mehr Symptome.;;$VICTIM|Y$ tiene $VALUE$ síntoma(s) o más;;;;;;;;;x
#REGIONAL_PERCENTAGE_TRIGGER;At least $PERCENT$ ($VALUE$) counties of $REGION$:;Au moins $PERCENT$ ($VALUE$) comtés de $REGION$:;Mindestens $PERCENT$ ($VALUE$) Provinzen von $REGION$:;;Al menos $PERCENT$ ($VALUE$) provincias de $REGION$:;;;;;;;;;x
#REGIONAL_PERCENTAGE_TRIGGER_NOT;Less than $PERCENT$ ($VALUE$) counties of $REGION$:;Moins que $PERCENT$ ($VALUE$) comtés de $REGION$:;Weniger als $PERCENT$ ($VALUE$) Provinzen von $REGION$:;;Menos de $PERCENT$ ($VALUE$) provincias de $REGION$:;;;;;;;;;x
MAPMODE_EPIDEMICS;§YEpidemics§!;§YÉpidémies§!;§YEpidemien§!;;§YEpidemias§!;;;;;;;;;x
MAPMODE_EPIDEMICS_DESC;This map mode shows all counties ravaged by epidemics.;Cette carte vous montre tous les comtés ravagés par l'épidémie;Dieser Kartenmodus zeigt alle Provinzen an, in denen Epidemien wüten.;;Este modo del mapa muestra todas las provincias asoladas por epidemias.;;;;;;;;;x
YEARS_PLAYED_TRIGGER_LESSTHAN;The game has lasted less than $VALUE|Y$ years;La partie a duré moins de $VALUE|Y$ ans;Das Spiel hat weniger als $VALUE|Y$ Jahre gedauert;;El juego ha durado menos de $VALUE|Y$ años;;;;;;;;;x
YEARS_PLAYED_TRIGGER_ATLEAST;The game has lasted at least $VALUE|Y$ years;La partie a duré plus de $VALUE|Y$ ans;Das Spiel hat mindestens $VALUE|Y$ Jahre gedauert;;El juego ha durado al menos de $VALUE|Y$ años;;;;;;;;;x
NO_REGION;No Region;Pas de région;Keine Region;;Ninguna región;;;;;;;;;x
opinion_alliance_breaker;Alliance-Breaker;Briseur d'alliance;Bündnisbrecher;;Rompealianzas;;;;;;;;;x
alliance_breaker;Alliance-Breaker;Briseur d'alliance;Bündnisbrecher;;Rompealianzas;;;;;;;;;x
AIREASON_ALLIANCE_BREAKER;Untrustworthy §YAlliance-Breaker§!;§YBriseur d'alliance§! indigne de confiance;Nicht vertrauenswürdiger §YBündnisbrecher§!;;§YRompealianzas§! de poca confianza;;;;;;;;;x
# CALL_ALLY_INTERACTION_LETTER_1;$ENEMYLIST$.\n\nDeclining would cost us §R$PRESTIGE$§! Prestige, and might make us an §Yalliance breaker§! in the eyes of the world.;$ENEMYLIST$.\n\nDécliner nous coûterait §R$PRESTIGE$§! en prestige, et ferait de nous un §Ybriseur d'alliance§! aux yeux du monde.;$ENEMYLIST$.\nDies zu verweigern würde uns §R$PRESTIGE$§! Prestige kosten und könnte uns in der Öffentlichkeit als §YBündnisbrecher§! erscheinen lassen.;;$ENEMYLIST$.\n\nRechazarlo nos costaría §R$PRESTIGE$§! Prestigio y nos convertiría en unos §YRompelianzas§! a ojos de todo el mundo.;;;;;;;;;x
PV_HOSPITAL;Hospital;Hôpital;Hospital;;Hospital;;;;;;;;;x
HOSPITAL_PROV;Hospital of $PROV$;Hôpital de $PROV$;Hospital von $PROV$;;Hospital de $PROV$;;;;;;;;;x
ANY_HOSPITAL_STARTS;Any Hospital;Tout hôpital;Beliebiges Hospital;;Cualquier hospital;;;;;;;;;x
HOSPITAL_NOT_YET_AVAILABLE;Hospital technology is available, or the Knights Hospitalier are present in the county;La technologie est disponible, ou les Hospitaliers sont présents dans le comté;Hospitaltechnologie ist verfügbar, oder die Johanniter sind in dieser Provinz etabliert.;;La tecnología de Hospital está disponible o los Caballeros Hospitalarios están presentes en la provincia;;;;;;;;;x
HOSPITAL_TAX_MODIFIER;Hospital Tax;Impôt hospitalier;Hospitalsteuer;;Impuesto de hospital;;;;;;;;;x
HOSPITAL_LEVY_SIZE;Hospital Levy Size;Taille des troupes des hôpitaux;Abgabenhöhe des Hospitals;;Tamaño de leva de hospital;;;;;;;;;x
HOSPITAL_LEVEL;Hospital Level;Niveau de l'hôpital;Hospitalstufe;;Nivel de hospital;;;;;;;;;x
#alert_open_gates_instant;§YYou can Reopen your Gates§!;§YVous pouvez rouvrir les portes§!;§YIhr könnte Eure Tore wieder öffnen§!;;§YPuedes reabrir las puertas§!;;;;;;;;;x
#alert_open_gates_name;Open the Gates;Ouvrir les portes;Tore öffnen;;Abrir las puertas;;;;;;;;;x
#alert_open_gates_delayed;If the worst of the epidemics has passed, you can reopen your gates and welcome the outside world once again;Si le pire de l'épidémie est passé, vous pouvez rouvrir vos portes et accueillir à nouveau les gens du monde extérieur.;Nachdem die schlimmsten Phasen der Epidemien vorüber sind, könnt Ihr Eure Tore wieder öffnen und Fremde hereinlassen.;;Si lo peor de las epidemias ha pasado, puedes reabrir las puertas y dar la bienvenida de nuevo al mundo exterior.;;;;;;;;;x
#alert_close_gates_instant;§YYou can Shut the Gates§!;§YVous pouvez fermer les portes§!;§YIhr könnt die Tore schließen§!;;§YPuedes cerrar las puertas§!;;;;;;;;;x
#alert_close_gates_name;Shut the Gates;Fermer les portes;Tore schließen;;Cerrar las puertas;;;;;;;;;x
#alert_close_gates_delayed;With epidemics ravaging the countryside, you can shut the gates to keep your court safe from disease brought by the rabble outside;Avec les épidémies qui ravagent la campagne, vous pouvez fermer les portes pour garder votre Cour à l'abri des maladies apportées par la populace;Da in Eurem Land Epidemien toben, könnt Ihr die Tore schließen, um Euren Hof vor den Krankheiten zu schützen, die der Pöbel verbreitet.;;Con epidemias asolando el campo, puedes cerrar las puertas para mantener tu corte a salvo de las enfermedades traídas por la chusma de fuera.;;;;;;;;;x
BUILD_PRESTIGE_OR_PIETY_HOSPITAL_DESC;Hospitals can be built in all counties you control, if you have the required technology or the Knights Hospitaliers are present in the county. Hospitals cost §Y$COST$§! to construct. Hospitals reduce the chance of provinces getting infected during epidemics, and also reduce the effects of depopulation.;Un hôpital peut être établi au coût de §Y$COST$§! dans n'importe quel comté que vous contrôlez, à condition que vous ayez la technologie requise ou que les Hospitaliers y soient présents. Il réduit la probabilité dans ces comtés d'être infectés durant les épidémies, ainsi que les effets de la dépopulation.;Hospitale können in allen Grafschaften unter Eurer Herrschaft errichtet werden, solange Ihr über die erforderliche Technologie verfügt oder die Johanniter in der Provinz präsent sind. Der Bau von Hospitalen kostet §Y$COST$§!. Hospitale verringern die Wahrscheinlichkeit, dass Eure Provinzen während Epidemien infiziert werden und reduzieren die Auswirkungen des Bevölkerungsverlusts.;;Se puede construir Hospitales en las todas las provincias que controles, si tienes la tecnología requerida o hay Caballeros Hospitalarios presentes en la provincia. Construir Hospitales te costará §Y$COST$§!. Los Hospitales reducen la posibilidad de que las provincias sean infectadas durante las epidemias y también reducen los efectos del despoblamiento.;;;;;;;;;x
HOSPITAL_LEVEL_LESSTHAN;The §YHospital Level§! in the county is less than $VALUE|Y$;Le §Yniveau d'hôpital§! dans le comté est inférieur à $VALUE|Y$;Die §YHospitalstufe§! in dieser Provinz beträgt weniger als $VALUE|Y$;;El §YNivel de Hospital§! en la provincia es menos de $VALUE|Y$;;;;;;;;;x
HOSPITAL_LEVEL_ATLEAST;The §YHospital Level§! in the county is at least $VALUE|Y$;Le §Yniveau d'hôpital§! dans le comté est supérieur à $VALUE|Y$;Die §YHospitalstufe§! in dieser Provinz beträgt mindestens $VALUE|Y$;;El §YNivel de Hospital§! en la provincia es al menos de $VALUE|Y$;;;;;;;;;x
PROVINCE_HOSPITAL_LEVEL;This county has a §YHospital Level§! of $VALUE|G$;Ce comté a un §Yniveau d'hôpital§! de $VALUE|G$;Diese Provinz hat §YHospitalstufe§! $VALUE|G$;;Esta provincia tiene §Y nivel de Hospital§! de $VALUE|G$;;;;;;;;;x
DISEASE_DEFENSE_LESSTHAN;This county has a §YDisease Defense§! value inferior to $VALUE|Y$;Ce comté a une §Yrésistance à la maladie§! inférieure à $VALUE|Y$;Die §YKrankheitsresistenz§! dieser Provinz beträgt weniger als $VALUE|Y$;;Esta provincia tiene un valor de §YDefensa contra enfermedades§! inferior a $VALUE|Y$;;;;;;;;;x
DISEASE_DEFENSE_ATLEAST;This county has a §YDisease Defense§! value at least equal to $VALUE|Y$;Ce comté a une §Yrésistance à la maladie§! d'au moins $VALUE|Y$;Die §YKrankheitsresistenz§! dieser Provinz beträgt mindestens $VALUE|Y$;;Esta provincia tiene un valor de §YDefensa contra enfermedades§! al menos igual a $VALUE|Y$;;;;;;;;;x
RULES_ACHIEVEMENTS_ENABLED;Achievements: §GEnabled§!;Succès Steam §Gactivés§!;Errungenschaften: §GAktiviert§!;;Logros: §GActivado§!;;;;;;;;;x
RULES_ACHIEVEMENTS_DISABLED;Achievements: §RDisabled§!;Succès Steam §Rdésactivés§!;Errungenschaften: §RDeaktiviert§!;;Logros: §RDesactivado§!;;;;;;;;;x
GAME_RULES_WINDOW_TITLE;Game Rules;Règles du jeu;Spielparameter;;Logros del juego;;;;;;;;;x
RULE_SHATTERED_RETREAT;Shattered Retreat;Déroute;Chaotischer Rückzug;;Retirada rota;;;;;;;;;x
RULE_AZTEC_INVASION;§BSunset Invasion:§! Aztec Invasion;Invasion aztèque (§BSunset Invasion§! - Invasion du Soleil Couchant);§BSunset Invasion:§! Aztekische Invasion;;§BSunset Invasion:§! Invasión azteca;;;;;;;;;x
RULE_DEFENSIVE_PACTS;Defensive Pacts;Pactes défensifs;Verteidigungspakte;;Pactos defensivos;;;;;;;;;x
RULE_OPTION_ON;On;Règle activée;An;;Activado;;;;;;;;;x
RULE_OPTION_OFF;Off;Règle désactivée;Aus;;Desactivado;;;;;;;;;x
RULE_AZTEC_13TH;13th Century;XIIIe siècle;13. Jahrhundert;;Siglo XIII;;;;;;;;;x
RULE_OPTION_RANDOM;Random;Aléatoire;Zufällig;;Aleatorio;;;;;;;;;x
RULE_GENDER;Gender Equality;Égalité des genres;Gleichberechtigung der Geschlechter;;Igualdad de sexos;;;;;;;;;x
RULE_OPTION_DEFAULT;Default;Par défaut;Standard;;Por defecto;;;;;;;;;x
RULE_OPTION_HISTORICAL;Historical;Historique;Historisch;;Histórico;;;;;;;;;x
RULE_OPTION_ALL;All;Tout;Alle;;Todo;;;;;;;;;x
RULE_MONGOL_INVASION;Mongol Invasion;Invasion mongole;Mongolische Invasion;;Invasión mongola;;;;;;;;;x
RULE_RAIDING;Raiding;Pillage;Raubzüge;;Incursiones;;;;;;;;;x
RULE_OPTION_UNRESTRICTED;Unrestricted;Sans restriction;Unbeschränkt;;Sin restricción;;;;;;;;;x
RULE_EPIDEMICS;§BThe Reaper's Due:§! Major Epidemics;Épidémies majeures (§BReaper's Due§! - Notre dû à la Faucheuse);§BThe Reaper's Due:§! Große Epidemien;;§BReaper's Due:§! Grandes epidemias;;;;;;;;;x
RULE_EPIDEMICS_DYNAMIC;Dynamic;Dynamiques;Dynamisch;;Dinámico;;;;;;;;;x
RULE_EPIDEMICS_DEADLY;Deadly;Mortelles;Tödlich;;Mortal;;;;;;;;;x
RULE_SUPERNATURAL;Supernatural Events;Événements surnaturels;Übernatürliche Ereignisse;;Eventos sobrenaturales;;;;;;;;;x
RULE_ADVENTURERS;Adventurers;Aventuriers;Abenteurer;;Aventureros;;;;;;;;;x
RULE_OPTION_NORMAL;Normal;Normal;Normal;;Normal;;;;;;;;;x
RULE_OPTION_RARE;Rare;Rare;Selten;;Raro;;;;;;;;;x
RULE_OPTION_NONE;None;Aucun;Keine;;Ninguno;;;;;;;;;x
RULE_PROVINCE_REVOLTS;Provincial Revolts;Révoltes provinciales;Provinziale Aufstände;;Revueltas provinciales;;;;;;;;;x
RULE_REGENCIES;Regencies;Régences;Regentschaften;;Regencias;;;;;;;;;x
