#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ZOOM_IN_INTERFACE_LABEL;§YZoom in§!;§YEffectuer un zoom avant§!;§YVergrößern§!;§YPowiêksz§!;§YAcerca el zum§!;§YIngrandire§!;§YKözelítés§!;§YZaostøit nablízko§!;;;;;;x
ZOOM_OUT_INTERFACE_LABEL;§YZoom out§!;§YEffectuer un zoom arrière§!;§YVerkleinern§!;§YPomniejsz§!;§YAleja el zum§!;§YRidurre§!;§YTávolítás§!;§YZaostøit na dálku§!;;;;;;x
HOME_INTERFACE_LABEL;§YGo to Home Province§!;§YAller à la province d'origine§!;§YGehe zur Heimatprovinz§!;;§YIr a la Provincia de Origen§!;§YAndare alla Capitale§!;;;;;;;;x
LEDGER_MENU_INTERFACE_LABEL;§YLedger§!;§YGrand livre§!;§YArchiv§!;;§YLibro de contabilidad§!;§YRegistro§!;;;;;;;;x
LOGGER_MENU_INTERFACE_LABEL;§YMessage Log§!;§YJournal des messages§!;§YNachrichten-Log§!;;§YRegistro de mensajes§!;;;;;;;;;x
FIND_PROVINCE_INTERFACE_LABEL;§YFind Title or Region§!;§YTrouver un titre ou une région§!;§YTitel oder Region suchen§!;;§YEncuentra título o región§!;;;;;;;;;x
OPEN_CHRONICLE_INTERFACE_LABEL;§YOpen Chronicle§!;§YOuvrir la chronique§!;§YÖffne Chronik§!;;§YAbrir Crónica§!;;;;;;;;x
DYNASTYTREE_INTERFACE_LABEL;§YDynasty Tree§!;§YArbre dynastique§!;§YDynastiebaum§!;;§YÁrbol dinástico§!;;;;;;;;;x
FAMILYTREE_INTERFACE_LABEL;§YFamily Tree§!;§YArbre familial§!;§YStammbaum§!;;§YÁrbol genealógico§!;;;;;;;;;x
REALM_TREE_INTERFACE_LABEL;§YRealm Tree§!;§YArbre hiérarchique§!;§YReichsbaum§!;;§YÁrbol del Reino§!;;;;;;;;;x
b_qinggil;Qinggil;Qinggil;Qinggil;;Qinggil;;;;;;;;;x
b_koktokay;Koktokay;Koktokay;Koktokay;;Koktokay;;;;;;;;;x
b_burqin;Burqin;Burqin;Burqin;;Burqin;;;;;;;;;x
b_burultokay;Burultokay;Burultokay;Burultokay;;Burultokay;;;;;;;;;x
b_kokagax;Kokagax;Kokagax;Kokagax;;Kokagax;;;;;;;;;x
b_jeminay;Jeminay;Jeminay;Jeminay;;Jeminay;;;;;;;;;x
b_beshbalik;Beshbalik;Beshbalik;Beshbalik;;Beshbalik;;;;;;;;;x
b_gucheng;Gucheng;Gucheng;Gucheng;;Gucheng;;;;;;;;;x
b_mori;Mori;Mori;Mori;;Mori;;;;;;;;;x
b_jiangjunmiao;Jiangjunmiao;Jiangjunmiao;Jiangjunmiao;;Jiangjunmiao;;;;;;;;;x
b_zyryan;Zyryan;Zyryan;Zyryan;;Zyryan;;;;;;;;;x
b_oskemen;Öskemen;Öskemen;Öskemen;;Öskemen;;;;;;;;;x
b_urunkhayka;Urunkhayka;Urunkhayka;Urunkhayka;;Urunkhayka;;;;;;;;;x
b_kurchum;Kurchum;Kurchum;Kurchum;;Kurchum;;;;;;;;;x
b_uryl;Uryl;Uryl;Uryl;;Uryl;;;;;;;;;x
b_turan;Turan;Turan;Turan;;Turan;;;;;;;;;x
b_chadaana;Chadaana;Chadaana;Chadaana;;Chadaana;;;;;;;;;x
b_ulala;Ulala;Ulala;Ulala;;Ulala;;;;;;;;;x
b_ulagan;Ulagan;Ulagan;Ulagan;;Ulagan;;;;;;;;;x
b_sayan;Sayan;Sayan;Sayan;;Sayan;;;;;;;;;x
b_khori_tumed;Khori-Tümed;Khori-Tümed;Khori-Tümed;;Khori-Tümed;;;;;;;;;x
b_kyren;Kyren;Kyren;Kyren;;Kyren;;;;;;;;;x
b_kutulik;Kutulik;Kutulik;Kutulik;;Kutulik;;;;;;;;;x
b_tulun;Tulun;Tulun;Tulun;;Tulun;;;;;;;;;x
b_korya;Korya;Korya;Korya;;Korya;;;;;;;;;x
b_semey;Semey;Semey;Semey;;Semey;;;;;;;;;x
b_aqsw;Aqsw;Aqsw;Aqsw;;Aqsw;;;;;;;;;x
b_ekibastuz;Ekibastuz;Ekibastuz;Ekibastuz;;Ekibastuz;;;;;;;;;x
b_ertis;Ertis;Ertis;Ertis;;Ertis;;;;;;;;;x
b_koktobe;Koktobe;Koktobe;Koktobe;;Koktobe;;;;;;;;;x
b_abaza;Abaza;Abaza;Abaza;;Abaza;;;;;;;;;x
b_tashtyp;Tashtyp;Tashtyp;Tashtyp;;Tashtyp;;;;;;;;;x
b_terkhiin_tsagaan;Terkhiin Tsagaan;Terkhiin Tsagaan;Terkhiin Tsagaan;;Terkhiin Tsagaan;;;;;;;;;x
b_ogii;Ögii;Ögii;Ögii;;Ögii;;;;;;;;;x
b_tsetserleg;Tsetserleg;Tsetserleg;Tsetserleg;;Tsetserleg;;;;;;;;;x
b_uliastai;Uliastai;Uliastai;Uliastai;;Uliastai;;;;;;;;;x
b_orgil;Orgil;Orgil;Orgil;;Orgil;;;;;;;;;x
b_erdenet;Erdenet;Erdenet;Erdenet;;Erdenet;;;;;;;;;x
b_luut;Luut;Luut;Luut;;Luut;;;;;;;;;x
b_noin_ula;Noin Ula;Noin Ula;Noin Ula;;Noin Ula;;;;;;;;;x
b_zuunmod;Zuunmod;Zuunmod;Zuunmod;;Zuunmod;;;;;;;;;x
b_khamag;Khamag;Khamag;Khamag;;Khamag;;;;;;;;;x
b_lun;Lün;Lün;Lün;;Lün;;;;;;;;;x
b_bayan;Bayan;Bayan;Bayan;;Bayan;;;;;;;;;x
b_darkhan;Darkhan;Darkhan;Darkhan;;Darkhan;;;;;;;;;x
b_bargujin;Bargujin;Bargujin;Bargujin;;Bargujin;;;;;;;;;x
b_merkit;Merkit;Merkit;Merkit;;Merkit;;;;;;;;;x
b_kyakhta;Kyakhta;Kyakhta;Kyakhta;;Kyakhta;;;;;;;;;x
b_uda;Uda;Uda;Uda;;Uda;;;;;;;;;x
b_galuuta;Galuuta;Galuuta;Galuuta;;Galuuta;;;;;;;;;x
b_barkul;Barkul;Barkul;Barkul;;Barkul;;;;;;;;;x
b_khoid;Khoid;Khoid;Khoid;;Khoid;;;;;;;;;x
b_erdene;Erdene;Erdene;Erdene;;Erdene;;;;;;;;;x
b_gurvantes;Gurvantes;Gurvantes;Gurvantes;;Gurvantes;;;;;;;;;x
b_khereid;Khereid;Khereid;Khereid;;Khereid;;;;;;;;;x
b_zubu;Zübü;Zübü;Zübü;;Zübü;;;;;;;;;x
b_nuuruudyn_hondij;Nuuruudyn Hondij;Nuuruudyn Hondij;Nuuruudyn Hondij;;Nuuruudyn Hondij;;;;;;;;;x
b_arguut;Arguut;Arguut;Arguut;;Arguut;;;;;;;;;x
b_khuld;Khuld;Khuld;Khuld;;Khuld;;;;;;;;;x
b_naiman;Naiman;Naiman;Naiman;;Naiman;;;;;;;;;x
b_khovd;Khovd;Khovd;Khovd;;Khovd;;;;;;;;;x
b_khar;Khar;Khar;Khar;;Khar;;;;;;;;;x
b_mankhan;Mankhan;Mankhan;Mankhan;;Mankhan;;;;;;;;;x
b_darvi;Darvi;Darvi;Darvi;;Darvi;;;;;;;;;x
b_khaliun;Khaliun;Khaliun;Khaliun;;Khaliun;;;;;;;;;x
HAS_LESS_SETTLEMENTS;Less than §Y$VAL$§! holdings.;Moins de §Y$VAL$§! propriétés.;Weniger als §Y$VAL$§! Gebäude.;;Menos de §Y$VAL$§! posesiones.;;;;;;;;;x
HAS_LEAST_SETTLEMENTS;At least §Y$VAL$§! holdings.;Au moins §Y$VAL$§! propriétés.;Mindestens §Y$VAL$§! Gebäude.;;§Y$VAL$§! posesiones como máximo.;;;;;;;;;x
CAPTAIN_female; ;; ;;;;;;;;;;;x
messalian_FEATURES;§Y*§! Women may hold all councillor positions\n§Y*§! Women may lead armies;§Y*§! Les femmes peuvent occuper tous les postes du Conseil\n§Y*§! Les femmes peuvent mener des armées au combat;§Y*§! Frauen können alle Ratspositionen bekleiden\n§Y*§! Frauen können Armeen befehligen;;§Y*§! Las mujeres pueden ocupar todos los puestos de consejero\n§Y*§!Las mujeres pueden dirigir ejércitos;;;;;;;;;x
CONFIRM_BUILD_EXTRA_PRESTIGE_OR_PIETY_HOLDING_DESC;Are you sure you want to build a $TYPE$?\nIt will cost you §Y$COST$§! and will be finished on §Y$FINISHED$§!;Voulez-vous vraiment établir une propriété de type '$TYPE$' ?\nVous devrez payer §Y$COST$§! et cela s'achèvera le §Y$FINISHED$§!;$TYPE$ wirklich bauen?\nDies kostet §Y$COST$§! und wird fertiggestellt am §Y$FINISHED$§!.;;¿Estás seguro/a de que desea construir un/a $TYPE$?\n Te costará §Y$COST$§! y estará terminado en §Y$FINISHED$§!;;;;;;;;;x
EVTDESC_HL_10501B;[eloper.GetFirstName] has eloped with the notorious mercenary [From.GetFirstName].;[eloper.GetFirstName] a fui avec le célèbre mercenaire [From.GetFirstName].;[eloper.GetFirstName] ist mit dem berüchtigten Söldner [From.GetFirstName] durchgebrannt.;;[eloper.GetFirstName] se fugó con el famoso mercenario [From.GetFirstName].;;;;;;;;;x
#recently_burnt_the_land_not_owner;Recently Burned the Land;Terre brûlée récemment;Steckte vor kurzem das Land in Brand;;Tierra recientemente quemada;;;;;;;;;x
PRESTIGE_LAW_PASSED_LOG;§Y$RULER$§! has instituted the §Y$LAW$§! Law in §Y$TITLE$§!.;§Y$RULER$§! a institué la loi §Y$LAW$§! en §Y$TITLE$§!.;§Y$RULER$§! hat das Gesetz §Y$LAW$§! in §Y$TITLE$§! eingeführt.;;§Y$RULER$§! ha instituido la  ley §Y$LAW$§! en §Y$TITLE$§!.;;;;;;;;;x
EVTTITLE_HL_1031;[From.GetSonDaughter] of the Wolf?;[From.GetSonDaughter] du Loup ?;[From.GetSonDaughter] einer Wölfin?;;¿[From.GetSonDaughter] de la loba?;;;;;;;;;x
EVTNAME62923;The [From.PrimaryTitle.GetTier] of Castille;Le [From.PrimaryTitle.GetTier] de Castille;Das [From.PrimaryTitle.GetTier] von Kastilien;;El [From.PrimaryTitle.GetTier] de Castilla;;;;;;;;;x
EVTNAME62925;The [From.PrimaryTitle.GetTier] of Portugal;Le [From.PrimaryTitle.GetTier] du Portugal;Das [From.PrimaryTitle.GetTier] von Portugal;;El [From.PrimaryTitle.GetTier] de Portugal;;;;;;;;;x
EVTNAME62927;The [From.PrimaryTitle.GetTier] of Aragon;Le [From.PrimaryTitle.GetTier] d'Aragon;Das [From.PrimaryTitle.GetTier] von Aragon;;El [From.PrimaryTitle.GetTier] de Aragón;;;;;;;;;x
CONTAINS_UNAVAILABLE_DECISION_UNLOCKS;Unlocks decisions not available for your character.;Débloque des décisions actuellement non disponibles pour votre personnage.;Ermöglicht Entscheidungen, die jetzt für Ihre Charakter nicht verfügbar sind.;;Desbloquea decisiones que no están actualmente disponibles para su personaje.;;;;;;;;;x
LAND_OF_CLAN;§YNomadic Counties held by Clan $CLAN$§!;§YComtés nomades détenus par le clan $CLAN$§!;§YNomadische Grafschaften unter der Kontrolle von Klan $CLAN$§!;;§YCondados nómadas poseídos por clan $CLAN$§!;;;;;;;;;x
