#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#TITLE_CREATION_HAS_OWNER;You are not allowed to create or usurp titles while you hold a Temporary title;;Ihr dürft dieser Fraktion zurzeit nicht beitreten.;;No te está permitido unirte a esta facción ahora.;;;;;;;;;x
CAN_ONLY_JOIN_X_FACTIONS;§ROnly allowed to join §Y$NUM$§! Factions!§!;§RVous ne pouvez rejoindre que §Y$NUM$§! Factions !§!;Ihr dürft nur §Y$NUM$§! Fraktionen beitreten!;;¡Solo puedes unirte a §Y$NUM$§! Facciones!;;;;;;;;;x
MESSAGE_BUTTON_SEARCH;Search;Recherche;Suchen;;Buscar;;;;;;;;;x
MATCHMAKING_SERVERS_DOSEARCH;Search;Recherche;Suche;;Buscar;;;;;;;;;x
MATCHMAKING_REFRESH_LAN;Refresh LAN;Réactualiser LAN;LAN aktualisieren;;Actualizar LAN;;;;;;;;;x
MATCHMAKING_REFRESH_INTERNET;Refresh Internet;Réactualiser Internet;Internet aktualisieren;;Actualizar Internet;;;;;;;;;x
MATCHMAKING_JOIN_SERVER;Join Game;Rejoindre;Beitreten;;Unirse a partida;;;;;;;;;x
MATCHMAKING_HOST_SERVER;Host Game;Héberger;Spiel erstellen;;Hospedar partida;;;;;;;;;x
MATCHMAKING_SERVER_PASSWORD;Password;Mot de passe;Passwort;;Contraseña;;;;;;;;;x
MATCHMAKING_SERVER_NAME;Name;Nom;Name;;Nombre;;;;;;;;;x
MATCHMAKING_SERVER_SLOTS;Slots;Places;Felder;;Espacios;;;;;;;;;x
MATCHMAKING_SERVER_VERSION;Version;Version;Version;;Versión;;;;;;;;;x
MATCHMAKING_SERVER_TAGS;Tags;Tags;Tags;;Etiquetas;;;;;;;;;x
MATCHMAKING_SERVER_MOD;Mod;Mod;Mod;;Mod;;;;;;;;;x
MATCHMAKING_SERVER_STATUS;Status;État;Status;;Estado;;;;;;;;;x
MATCHMAKING_SERVER_PING;Ping;Ping;Ping;;Ping;;;;;;;;;x
FRIENDS;Friends;Amis;Freunde;;Amigos;;;;;;;;;x
SEND;Send;Envoyer;Senden;;Enviar;;;;;;;;;x
MATCHMAKING_TITLE;Matchmaking;Multijoueurs;Vermittlung;;Emparejamiento;;;;;;;;;x
MATCHMAKING_SERVERS;Servers;Serveurs;Server;;Servidores;;;;;;;;;x
MATCHMAKING_COMMUNITY;Community;Communauté;Community;;Comunidad;;;;;;;;;x
CONNECT_TO_IP;Connect to ID;Connexion à un ID;Mit IP verbinden;;Conectar a ID;;;;;;;;;x
MATCHMAKING_SERVER_CONNECT_TITLE;Connect to Server;Connexion à un serveur;Mit Server verbinden;;Conectar a servidor;;;;;;;;;x
MATCHMAKING_SERVER_CONNECT_ADDRESS;Server ID;ID du serveur;Server-IP;;ID Servidor;;;;;;;;;x
MATCHMAKING_SERVERS_SEARCHING;Searching for servers...;Recherche de serveurs...;Suche nach Servern;;Buscando servidores…;;;;;;;;;x
MATCHMAKING_SERVERS_NOSERVERS;No servers found!;Aucun résultat !;Keine Server gefunden!;;¡Servidores no encontrados!;;;;;;;;;x
MATCHMAKING_SERVER_STATUS_STARTING;Starting;Lancement;Startet;;Comenzando;;;;;;;;;x
MATCHMAKING_SERVER_STATUS_RUNNING;Running;En cours;Läuft;;Ejecutando;;;;;;;;;x
MATCHMAKING_SERVER_STATUS_STOPPED;Stopped;Arrêté;Angehalten;;Parado;;;;;;;;;x
MATCHMAKING_SERVER_HOST_TAGS;Tags;Tags;Tags;;Etiquetas;;;;;;;;;x
MATCHMAKING_SERVER_DESC;Description;Description;Beschreibung;;Descripción;;;;;;;;;x
become_kshatriya;Become Kshatriya Caste;Appartenir à la caste des kshatriya;Wechsel zur Kshatriyakaste;;Cambiar a casta Chatria;;;;;;;;;x
become_kshatriya_desc;Changing caste is traditionally not possible in India. However, for a determined ruler who is willing to pay the price in gifts and bribes as well as risk the ire of Hindu society, even the impossible might be achieved. And after a generation or so, who knows, people might even forget that [Root.GetHerHis] family weren't always Kshatriya...\n\nA person of high learning will impress more and thus and have a lower cost in gold for the whole process.;La tradition en Inde ne permet pas de changer de caste. Cependant, si un seigneur est prêt à en payer le prix sous forme de cadeaux et de pots-de-vin, et à risquer l'ire de la société hindoue, même l'impossible peut se réaliser. Et après une génération environ, qui sait, on oubliera peut-être que sa famille n'a pas toujours été kshatriya...\n\nUne personne à l'érudition élevée fera meilleure impression et devra dépenser moins d'or pour parvenir au même résultat.;Traditionell ist der Wechsel der Kaste in Indien nicht möglich. Doch für einen entschlossenen Herrscher, der bereit ist, den Preis in Geschenken und Bestechungen zu zahlen und den Zorn der Hindugesellschaft auf sich zu nehmen, ist nichts unmöglich. Nach einigen Generationen könnten die Leute vielleicht sogar vergessen, dass die Familie nicht immer Kshatriya waren...\n\nEine Person mit hoher Bildung beeindruckt mehr und zahlt daher weniger Gold.;;Tradicionalmente, cambiar de casta no es posible en la India. Aunque, para un gobernante dispuesto a pagar el precio en regalos y sobornos, así como a arriesgarse a la ira de la sociedad Hindú, no existen imposibles. Y tras aproximadamente una generación, quién sabe, la gente puede olvidar que su familia no siempre fue Chatria...\n\nUna persona con gran Aprendizaje impresionará más y el coste en oro del proceso será menor.;;;;;;;;;x
opinion_changed_caste;Changed Caste;A changé de caste;Sagte sich vom Kastensystem los und wechselte die Kaste;;Rompió con el sistema de castas y cambió su casta;;;;;;;;;x
opinion_married_wrong_caste;Married Wrong Caste;S'est marié hors de sa caste;Heiratete außerhalb der eigenen Kaste;;Se casó fuera de su casta;;;;;;;;;x
opinion_ruler_wrong_caste_hindu;Ruler is Wrong Caste;Est de la mauvaise caste;Herrscher ist in den Augen des Hinduismus in der falschen Kaste;;El gobernante está en la casta errónea a los ojos de la fe Hindú;;;;;;;;;x
opinion_ruler_wrong_caste_non_hindu;Ruler is Wrong Caste;Est de la mauvaise caste;Herrscher ist in den Augen des Hinduismus in der falschen Kaste;;El gobernante está en la casta errónea a los ojos de la fe Hindú;;;;;;;;;x
opinion_low_caste;Low Caste;De caste inférieure;Niedrige Kaste;;Casta baja;;;;;;;;;x
restore_ecumenical_patriarchate;Restore the Ecumenical Patriarchate;Restaurer le patriarcat œcuménique;Stellt das ökumenische Patriarchat wieder her;;Restaurar el Patriarcado Ecuménico;;;;;;;;;x
d_followers_arjuna;Followers of Arjuna;Suivants d'Arjuna;Jünger von Arjuna;;Seguidores de Áryuna;;;;;;;;;x
d_followers_arjuna_adj;Arjuna;arjuna;Arjuna;;Áryuna;;;;;;;;;x
d_ashokas_chosen;Chosen of Ashoka;Elus d'Ashoka;Auserwählte von Ashoka;;Elegido de Asoka;;;;;;;;;x
d_ashokas_chosen_adj;Ashoka;ashoka;Ashoka;;Asoka;;;;;;;;;x
d_bulls_rishabha;Bulls of Rishabha;Taureaux de Rishabhanatha;Stiere von Rishabha;;Toros de Rishabha;;;;;;;;;x
d_bulls_rishabha_adj;Rishabha;rishabhanatha;Rishabha;;Rishabha;;;;;;;;;x
job_spiritual_indian_group;Upadhyaya;Upadhyaya;Upadhyaya;;Upadhyaya;;;;;;;;;x
title_master_of_the_royal_elephants;Master of the Royal Elephants;Maître des éléphants royaux;Meister der Königlichen Elefanten;;Maestro de los Reales Elefantes;;;;;;;;;x
title_master_of_the_royal_elephants_desc;Great monarchs often employ units of war elephants in their army to great effect. But aside from that, the elephant also has great value as a symbol of stability, strength and perserverance. All this makes it very important to keep the ruler's elephants in good health, and the position of Master of the Royal Elephants is a correspondingly prestigious one.;Les grands monarques ont souvent recours à des unités d'éléphants de guerre dans leurs armées, ce qui est très efficace. Mais si on excepte cette utilisation, l'éléphant possède aussi une grande valeur en tant que symbole de stabilité, de force et de persévérance. Tout ceci fait qu'il est très important de garder les éléphants du souverain en bonne santé. Aussi la fonction de maître des éléphants royaux est-il d'un prestige à la mesure de son utilité.;Große Herrscher nutzen oft mit großem Erfolg Kriegselefanten in ihren Armeen. Zusätzlich sind Elefanten ein Symbol der Stabilität, Stärke und Ausdauer. Deshalb ist es wichtig, die Elefanten bei guter Gesundheit zu halten, und so ist die Position des Meisters der Elefanten entsprechend prestigeträchtig.;;Los grandes monarcas a menudo emplean unidades de elefantes de guerra en sus ejércitos por su gran efecto. Pero aparte de ello, el elefante tiene gran valor como símbolo de estabilidad, fuerza y perseverancia. Todo esto hace muy importante mantener a los elefantes del gobernante con buena salud, y la posición del Maestro de los Reales Elefantes es acordemente prestigiosa.;;;;;;;;;x
title_royal_builder;Royal Builder;Architecte royal;Königlicher Baumeister;;Constructor Real;;;;;;;;;x
title_royal_builder_desc;Powerful rulers will always be expanding their palaces and building new ones. The position of Royal Builder holds much prestige, though the holder need not actually have any architectural or engineering skills. It's usually someone else doing the real work.;Les souverains puissants chercheront toujours à agrandir leurs palais et à en construire de nouveaux. La fonction d'architecte royal possède un grand prestige, bien que le titulaire de cette fonction ne possède pas nécessairement de compétences en architecture ou en ingénierie. C'est habituellement quelqu'un d'autre qui accomplit le véritable travail.;Mächtige Herrscher erweitern beständig ihre Paläste oder erbauen neue. Die Position des Königlichen Baumeisters bringt viel Prestige, doch benötigt der Besitzer keine eigenen architektonischen Fähigkeiten - normalerweise erledigt jemand anderes die echte Arbeit.;;Los gobernantes poderosos siempre ampliarán sus palacios o construirán otros nuevos. La posición de Constructor Real conlleva mucho prestigio, aunque el poseedor no necesita tener conocimientos de arquitectura o ingeniería. Habitualmente es otro quien hace el verdadero trabajo.;;;;;;;;;x
title_court_poet_india;Court Poet;Poète de la Cour;Hofdichter;;Poeta de la Corte;;;;;;;;;x
title_court_poet_india_desc;Poetry is an art much respected in Indian culture, and thus the Court Poet has always been a position of prestige.;La poésie est un art tenu en haute estime dans la culture indienne. C'est pourquoi les poètes de la cour ont toujours bénéficié d'un grand prestige.;Poesie ist in Indien eine sehr respektierte Kunst. Daher ist die Position des Hofdichters stets sehr prestigeträchtig.;;La Poesía es un arte muy respetado en la cultura india, y por ello la posición de Poeta de la Corte siempre ha sido prestigiosa.;;;;;;;;;x
ca_culture_indian_1;War Elephant Pens;Enclos d'éléphants de guerre;Gehege der Kriegselefanten;;Rediles de Elefantes de Guerra;;;;;;;;;x
ca_culture_indian_2;War Elephant Pens;Enclos d'éléphants de guerre;Gehege der Kriegselefanten;;Rediles de Elefantes de Guerra;;;;;;;;;x
ca_culture_indian_3;War Elephant Pens;Enclos d'éléphants de guerre;Gehege der Kriegselefanten;;Rediles de Elefantes de Guerra;;;;;;;;;x
ca_culture_indian_4;War Elephant Pens;Enclos d'éléphants de guerre;Gehege der Kriegselefanten;;Rediles de Elefantes de Guerra;;;;;;;;;x
ca_culture_indian_1_desc;This is where the fearsome war elephants are bred and trained.;On y élève et on y dresse les terrifiants éléphants de guerre.;Hier werden die furchterregenden Kriegselefanten gezüchtet und trainiert.;;Aquí es donde los temibles elefantes de guerra se alimentan y entrenan.;;;;;;;;;x
ca_culture_indian_2_desc;This is where the fearsome war elephants are bred and trained.;On y élève et on y dresse les terrifiants éléphants de guerre.;Hier werden die furchterregenden Kriegselefanten gezüchtet und trainiert.;;Aquí es donde los temibles elefantes de guerra se alimentan y entrenan.;;;;;;;;;x
ca_culture_indian_3_desc;This is where the fearsome war elephants are bred and trained.;On y élève et on y dresse les terrifiants éléphants de guerre.;Hier werden die furchterregenden Kriegselefanten gezüchtet und trainiert.;;Aquí es donde los temibles elefantes de guerra se alimentan y entrenan.;;;;;;;;;x
ca_culture_indian_4_desc;This is where the fearsome war elephants are bred and trained.;On y élève et on y dresse les terrifiants éléphants de guerre.;Hier werden die furchterregenden Kriegselefanten gezüchtet und trainiert.;;Aquí es donde los temibles elefantes de guerra se alimentan y entrenan.;;;;;;;;;x
RETTYPE_CUL_INDIAN;Steel Bow Infantry;Infanterie à arc d'acier;Stahlbogen-Infanterie;;Infantería de arco de acero;;;;;;;;;x
war_elephant_leader;War Elephant Leader;Meneur d'éléphants de guerre;Führer der Kriegselefanten;;Líder de Elefante de Guerra;;;;;;;;;x
war_elephant_leader_desc;This character has mastered the tactical use of war elephants in battle.;Ce personnage maîtrise l'utilisation tactique des éléphants de guerre au combat.;Dieser Charakter hat den taktischen Nutzen von Kriegselefanten im Kampf gemeistert.;;Este personaje ha dominado el uso táctico de los elefantes de guerra en combate.;;;;;;;;;x
jungle_terrain_leader;Jungle Expert;Expert de la jungle;Dschungelexperte;;Experto en Jungla;;;;;;;;;x
jungle_terrain_leader_desc;This character is an expert at leading troops in the jungle.;Ce personnage maîtrise l'art de mener les troupes dans la jungle.;Dieser Charakter ist ein Experte im Führen von Truppen im Dschungel.;;Este personaje es experto guiando tropas en la jungla.;;;;;;;;;x
hold_diwali_feast_hindu;Hold Diwali Feast;Organiser le Diwali;Veranstaltet ein Diwali-Fest;;Organizar Festival Diwali;;;;;;;;;x
hold_diwali_feast_hindu_desc;Diwali is the traditional Indian harvest feast. It celebrates the triumph of light over darkness, good over evil and hope over despair.;Diwali est une festivité traditionnelle des moissons en Inde. On y célèbre le triomphe de la lumière sur les ténèbres, du bien sur le mal et de l'espoir sur le désespoir.;Diwali ist das traditionelle indische Erntefest. Gefeiert wird der Triumph von Licht über Dunkelheit, Gut über Böse und Hoffnung über Verzweiflung.;;Diwali es el festival tradicional Indio de la cosecha. Celebra el triunfo de la luz sobre la oscuridad, del bien sobre el mal y de la esperanza sobre la desesperación.;;;;;;;;;x
hold_diwali_feast_buddhist;Hold Diwali Feast;Organiser le Diwali;Veranstaltet ein Diwali-Fest;;Organizar Festival Diwali;;;;;;;;;x
hold_diwali_feast_buddhist_desc;Diwali is the traditional Indian harvest feast. It celebrates the triumph of light over darkness, good over evil and hope over despair.;Diwali est une festivité traditionnelle des moissons en Inde. On y célèbre le triomphe de la lumière sur les ténèbres, du bien sur le mal et de l'espoir sur le désespoir.;Diwali ist das traditionelle indische Erntefest. Gefeiert wird der Triumph von Licht über Dunkelheit, Gut über Böse und Hoffnung über Verzweiflung.;;Diwali es el festival tradicional Indio de la cosecha. Celebra el triunfo de la luz sobre la oscuridad, del bien sobre el mal y de la esperanza sobre la desesperación.;;;;;;;;;x
hold_diwali_feast_jain;Hold Diwali Feast;Organiser le Diwali;Veranstaltet ein Diwali-Fest;;Organizar Festival Diwali;;;;;;;;;x
hold_diwali_feast_jain_desc;Diwali is the traditional Indian harvest feast. It celebrates the triumph of light over darkness, good over evil and hope over despair. For Jains it is also a time to remember and honor Mahavira, the twenty-fourth Tirthankara.;Diwali est une festivité traditionnelle des moissons en Inde. On y célèbre le triomphe de la lumière sur les ténèbres, du bien sur le mal et de l'espoir sur le désespoir. Pour les jaïns, c'est aussi un temps où on honore le souvenir de Mahavira, le vingt-quatrième Tirthankara.;Diwali ist das traditionelle indische Erntefest. Gefeiert wird der Triumph von Licht über Dunkelheit, Gut über Böse und Hoffnung über Verzweiflung. Jainisten erinnern und ehren außerdem Mahavira, die vierundzwanzigste Tirthankara.;;Diwali es el festival tradicional Indio de la cosecha. Celebra el triunfo de la luz sobre la oscuridad, del bien sobre el mal y de la esperanza sobre la desesperación.;;;;;;;;;x
hold_diwali_feast_kali_puja;Hold Kali Puja Feast;Organiser le Kali Puja;Veranstaltet ein Kali Puja-Fest;;Organizar Festival Kali Puja;;;;;;;;;x
hold_diwali_feast_kali_puja_desc;While most of India celebrates Diwali in autumn, the Kali Puja festival is celebrated in the goddess Kali's name by Hindus in parts of northeastern India, and anywhere by those who hold a special love for the goddess of Death, Time and Change.  Rituals in Kali's honor often involve things such as blood and skulls.;Alors que presque partout en Inde on célèbre le Diwali en automne, la fête de Kali Puja est célébrée au nom de la déesse Kali par les hindous vivant dans le nord-est de l'Inde, ainsi que partout ailleurs par ceux qui vouent une affection particulière à la déesse de la mort, du temps et du changement.  Les rituels en l'honneur de Kali impliquent souvent l'utilisation de sang et de crânes.;Obwohl die meisten Inder im Herbst Diwali zelebrieren, wird das Kali Puja-Fest im Namen der Göttin Kali von Hinduisten im nordöstlichen Indien gefeiert und von allen, die die Herrin von Tod, Zeit und Veränderung lieben. Rituale zu Ehren Kalis umfassen oft Blut und Schädel.;;Mientras la mayor parte de la india celebra el Diwali en otoño, el Kali Puja se celebra en honor a la diosa Kali por hindúes en partes de la india nororiental, y en cualquier parte donde profesen amor por la diosa de la muerte, el tiempo y el cambio. En los rituales en honor de Kali a menudo hay sangre y calaveras.;;;;;;;;;x
holding_diwali_feast;Holding Diwali Feast;Divali en cours;Feiert das Diwali-Fest;;Organizando Festival Diwali;;;;;;;;x
holding_kali_puja_feast;Holding Kali Puja Feast;Kali Puja en cours;Feiert das Kali Puja-Fest;;Organizando Festival Kali Puja;;;;;;;;x
convert_to_hinduism;Convert to Hinduism;Adopter l'hindouisme;Konvertiert zum Hinduismus;;Convertir al Hinduismo;;;;;;;;;x
convert_to_hinduism_desc;The Indian religions have so many traditions in common, and the people's beliefs are so mixed, that it is not impossible for a person to simply choose to convert from one of the religions to another. Such a choice may only be made once in a lifetime, however.;Les religions indiennes possèdent tant de traditions communes, et les croyances sont si mélangées, qu'il n'est pas impossible pour quelqu'un de simplement choisir de se convertir à une autre des religions concernées. Cependant, on ne peut faire ce choix qu'une fois au cours d'une vie.;Die indischen Religionen haben so viel gemein und die Glaubensvorstellungen vermischen sich so stark, dass es nicht unmöglich ist, einfach zwischen ihnen zu wechseln. Solch eine Wahl kann allerdings nur einmal im Leben getroffen werden.;;Las religiones indias tienen tantas tradiciones en común y las creencias están tan mezcladas, que no es imposible para alguien simplemente convertirse de una religión a otra. Aunque es una decisión que solo se puede tomar una vez en la vida.;;;;;;;;;x
convert_to_buddhism;Convert to Buddhism;Adopter le bouddhisme;Konvertiert zum Buddhismus;;Convertir al Budismo;;;;;;;;;;x
convert_to_buddhism_desc;The Indian religions have so many traditions in common, and the people's beliefs are so mixed, that it is not impossible for a person to simply choose to convert from one of the religions to another. Such a choice may only be made once in a lifetime, however.;Les religions indiennes possèdent tant de traditions communes, et les croyances sont si mélangées, qu'il n'est pas impossible pour quelqu'un de simplement choisir de se convertir à une autre des religions concernées. Cependant, on ne peut faire ce choix qu'une fois au cours d'une vie.;Die indischen Religionen haben so viel gemein und die Glaubensvorstellungen vermischen sich so stark, dass es nicht unmöglich ist, einfach zwischen ihnen zu wechseln. Solch eine Wahl kann allerdings nur einmal im Leben getroffen werden.;;Las religiones indias tienen tantas tradiciones en común y las creencias están tan mezcladas, que no es imposible para alguien simplemente convertirse de una religión a otra. Aunque es una decisión que solo se puede tomar una vez en la vida.;;;;;;;;;x
convert_to_jainism;Convert to Jainism;Adopter le jaïnisme;Konvertiert zum Jainismus;;Convertir al Jainismo;;;;;;;;;x
convert_to_jainism_desc;The Indian religions have so many traditions in common, and the people's beliefs are so mixed, that it is not impossible for a person to simply choose to convert from one of the religions to another. Such a choice may only be made once in a lifetime, however.;Les religions indiennes possèdent tant de traditions communes, et les croyances sont si mélangées, qu'il n'est pas impossible pour quelqu'un de simplement choisir de se convertir à une autre des religions concernées. Cependant, on ne peut faire ce choix qu'une fois au cours d'une vie.;Die indischen Religionen haben so viel gemein und die Glaubensvorstellungen vermischen sich so stark, dass es nicht unmöglich ist, einfach zwischen ihnen zu wechseln. Solch eine Wahl kann allerdings nur einmal im Leben getroffen werden.;;Las religiones indias tienen tantas tradiciones en común y las creencias están tan mezcladas, que no es imposible para alguien simplemente convertirse de una religión a otra. Aunque es una decisión que solo se puede tomar una vez en la vida.;;;;;;;;;x
#convert_indian_branch;Change Religious Branch;;Konvertiert zu einem anderen Zweig Eurer Religion;;Convertir a otra rama de tu religión;;;;;;;;;x
convert_indian_branch_desc;A person following any of the Indian religions may convert from one branch of their religion to another. Such a choice may only be made once in a lifetime, however.;Un adepte de n'importe laquelle des religions indiennes peut se convertir à l'une des autres branches de sa religion. Cependant, on ne peut faire ce choix qu'une fois au cours d'une vie.;Ein Anhänger indischer Religion kann von einem Zweig des Glaubens zu einem anderen wechseln. Solch eine Wahl kann allerdings nur einmal im Leben getroffen werden.;;Un seguidor de cualquier religión india puede convertirse de una rama de su religión a otra. Aunque es una decisión que solo se puede tomar una vez en la vida.;;;;;;;;;x
EDUCATE_CHARACTER_INTERACTION_6;\n§Y[ChildExtra.GetFirstName]§! might become §Y[AdultExtra.Culture.GetName]§!!;\n§Y[ChildExtra.GetFirstName]§! pourrait devenir §Y[AdultExtra.Culture.GetName]§!!;\n§Y[ChildExtra.GetFirstName]§! könnte §Y[AdultExtra.Culture.GetName]§! werden!;;¡\n§Y[ChildExtra.GetFirstName]§! podría convertirse al §Y[AdultExtra.Culture.GetName]§!!;;;;;;;;;x
EDUCATE_CHARACTER_INTERACTION_6B;\n§Y[ChildExtra.GetFirstName]§! might become a §Y[AdultExtra.Religion.GetName]§! faithful!;\n§Y[ChildExtra.GetFirstName]§! pourrait devenir §Y[AdultExtra.Religion.GetName]§!!;\n§Y[ChildExtra.GetFirstName]§! könnte §Y[AdultExtra.Religion.GetName]§! werden!;;\n¡§Y[ChildExtra.GetFirstName]§! podría convertirse en un fiel del §Y[AdultExtra.Religion.GetName]§!!;;;;;;;;;x
INTERACTION_IS_DISTANCE_LIMITED;§Y[Recipient.GetTitledFirstName]§! is not too distant to interact with;§Y[Recipient.GetTitledFirstName]§! n'est pas trop éloigné pour pouvoir interagir;§Y[Recipient.GetTitledFirstName]§! ist nicht zu weit entfernt, um zu interagieren;;§Y[Recipient.GetTitledFirstName]§! no está demasiado lejos para interactuar;;;;;;;;;x
EVTDESC_RoI_110;Hinduism is a diverse religion with four main branches: Shaivism, Vaishnavism, Shaktism and Smartism. As you convert, you must choose one of them.;L'hindouisme est une religion diverse comportant quatre branches principales : le shivaïsme, le vishnouisme, le shaktisme et le smartisme. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Hinduismus ist eine vielfältige Religion mit vier Hauptzweigen: Shaivismus, Vaishnavismus, Shaktismus und Smartismus. Wenn Ihr konvertiert, könnt Ihr einen davon auswählen.;;El hinduismo es un religión variada con cuatro ramas principales: Shivaismo, Vishnuismo, Shaktismo y Advaitismo. Cuando te conviertes, debes elegir una.;;;;;;;;;x
EVTOPTA_RoI_110;Shaivism, revering Shiva as supreme.;Le shivaïsme vénère Shiva comme être suprême.;Shaivismus verehrt Shiva als das Höchste.;;Shivaismo, reverenciando a Shiva como el supremo.;;;;;;;;;x
EVTOPTB_RoI_110;Vaishnavism, revering Vishnu as supreme.;Le vishnouisme vénère Vishnou comme être suprême.;Vaishnavismus verehrt Vishnu als das Höchste.;;Vishnuismo, reverenciando a Vishnu como el supremo.;;;;;;;;;x
EVTOPTC_RoI_110;Shaktism, revering Shakti, the feminine divine, as supreme.;Le shaktisme vénère Shakti, la Grande Mère divine, comme être suprême.;Shaktismus verehrt Shaki, die weibliche Heilige, als das Höchste.;;Shaktismo, reverenciando a Shakti, la divina fémina, como suprema.;;;;;;;;;x
EVTOPTD_RoI_110;Smartism, revering the oneness of many gods as supreme.;Le smartisme vénère l'unicité de nombreux dieux comme principe dominant.;Smartismus verehrt die Einheit vieler Götter als das Höchste;;Advaitismo, reverenciando la unidad de muchos dioses como el supremo.;;;;;;;;;x
EVTDESC_RoI_111;Buddhist tradition is marked by immense pluralism, but principally follows three main branches: Mahayana, Vajrayana and Theravada. As you convert, you must choose one of them.;La tradition bouddhiste est marquée par un immense pluralisme qui se compose de trois branches principales : le Mahayana, le Vajrayana et le Theravada. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Buddhismus ist gekennzeichnet durch ausgeprägten Pluralismus, folgt aber drei Hauptrichtungen: Mahayana, Vajrayana und Theravada. Nach einer Konvertierung könnt Ihr eine davon auswählen.;;La tradición budista está marcada por un inmenso pluralismo, pero principalmente sigue tres ramas principales: Mahayana, Vajrayana y Theravada. Al convertirte, debes elegir una.;;;;;;;;;x
EVTOPTA_RoI_111;Mahayana, the Great Vehicle.;Le Mahayana, le grand véhicule.;Mahayana, der Große Weg.;;Mahayana, el Gran Vehículo.;;;;;;;;;x
EVTOPTB_RoI_111;Vajrayana, of the Two Truths.;Le Vajrayana, les deux vérités.;Vajrayana, die Zwei Wahrheiten.;;Vajrayana, de las dos Verdades.;;;;;;;;;x
EVTOPTC_RoI_111;Theravada, of the Pali Canon.;Le Theravada, le canon pali.;Theravada, aus dem Pali Kanon.;;Theravada, del Canon Pali.;;;;;;;;;x
EVTDESC_RoI_112;Jainism is a religion with strong traditions divided into two main branches: Digambara and Svetambara. As you convert, you must choose one of them.;Le jaïnisme est une religion aux traditions fortes divisée en deux branches principales : le Digambara and le Svetambara. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Jainismus ist eine Religion mit starken Traditionen, geteilt in zwei Hauptrichtungen: Digambara und Svetambara. Nach einer Konvertierung müsst Ihr eine davon wählen.;;El Jainismo es una religión con fuertes tradiciones divididas en dos ramas principales: Digambara y Suetambara. Al convertirte, debes elegir una.;;;;;;;;;x
EVTOPTA_RoI_112;Digambara, the sky-clad.;Le Digambara, vêtu du ciel.;Digambara, das Himmelskleid.;;Digambara, vestidos al cielo.;;;;;;;;;x
EVTOPTB_RoI_112;Svetambara, the white-clad.;Le Svetambara, vêtu de blanc.;Svetambara, das Weißgekleideten.;;Suetambara, vestidos de blanco.;;;;;;;;;x
EVTDESC_RoI_117;The two traditions of Jainism are Digambara, the sky-clad, and Svetambara, the white-clad. You have decided to shed the old and step onto a new path.;Les deux traditions du jaïnisme sont le Digambara, vêtu du ciel, et le Svetambara, vêtu de blanc. Vous avez décidé d'abandonner votre ancienne voie et d'en suivre une nouvelle.;Die zwei Traditionen des Jainismus sind Digambara, das Himmelskleid, und Svetambara, die Weißgekleideten. Ihr habt Euch entschieden, Euren Pfad zu ändern.;;Las dos tradiciones del Jainismo son Digambara, vestidos al cielo, y Suetambara, vestidos de blanco. Has decidido mudar lo viejo e iniciar un nuevo camino.;;;;;;;;;x
EVTOPTA_RoI_117;I am now a Digambara Jain.;Je suis désormais un jaïn digambara.;Ich bin jetzt ein Digambara-Jainist.;;Ahora soy un Jaina Digambara.;;;;;;;;;x
EVTOPTB_RoI_117;I am now a Svetambara Jain.;Je suis désormais un jaïn svetambara.;Ich bin jetzt ein Svetambara-Jainist.;;Ahora soy un Jaina Suetambara.;;;;;;;;;x
evt_relative_might_revolt;§RWARNING:§! [From.GetFirstName] might not passively accept your decision!;§RATTENTION :§! [From.GetFirstName] pourrait ne pas accepter votre décision si facilement !;§RWARNUNG:§! [From.GetFirstName] wird Eure Entscheidung möglicherweise nicht einfach akzeptieren!;;§RAVISO:§! ¡[From.GetFirstName] podría no aceptar pasivamente tu decisión!;;;;;;;;;x
EVTOPTD37001;Diplomatically refuse;Refuser avec diplomatie;Lehnt diplomatisch ab;;Rechazar diplomáticamente;;;;;;;;;x
EVTOPTB37007;I WILL have what is mine!;Je prendrai ce qui est à MOI !;Ich WERDE bekommen, was mir zusteht!;;¡TENDRÉ lo que es mío!;;;;;;;;;x
