#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
HOLD_ELECTION_EFFECT;An election is held in $TITLE$.\n;Une élection se tient en $TITLE$.\n;In $TITLE$.\n wird gewählt.;;Elección en $TITLE$.\n;;;;;;;;;x
TITLE_NEW_PRIMARY_NOT_SAME_RANK;§RThe new Primary Title has to be the same Rank as the previous one!;§RLe nouveau titre principal doit être du même niveau que le précédent;§RDer neue Primärtitel muss vom gleichen Rang wie der vorherige sein!;;¡§REl nuevo título principal tiene que ser del mismo rango que el anterior!;;;;;;;;;x
TITLE_NEW_PRIMARY_IS_SAME;This is Already your Primary Title!;Ce titre est déjà votre titre principal ! ;Dies ist bereits Euer Primärtitel!;;¡Ya es vuestro título principal!;;;;;;;;;x
TITLE_NEW_PRIMARY_IS_PATRICIAN;§RCannot set your Primary Title to a Patrician Settlement!;§RVous ne pouvez pas associer votre titre principal à un comptoir patricien;§REine bürgerliche Siedlung kann nicht als Primärtitel ausgewählt werden!;;¡§RNo podéis establecer vuestro título principal sobre un asentamiento patricio!;;;;;;;;;x
asked_for_claim;Asked for Claim;Revendication demandée;Um Anspruch gebeten;;Solicitó derecho;;;;;;;;;x
REQUEST_ANSWER_YES;§GThis Request would be Accepted§!;§GCette demande serait acceptée§!;Dieser Anspruch würde akzeptiert werden.;;Esta solicitud será aceptada;;;;;;;;;x
REQUEST_ANSWER_MAYBE;§YThis Request might be Accepted§!;§YCette demande pourrait être acceptée§!;Dieser Anspruch wird vielleicht akzeptiert werden.;;Esta solicitud podría ser aceptada;;;;;;;;;x
REQUEST_ANSWER_NO;§RThis Request would be Denied§!;§RCette demande serait refusée§!;Dieser Anspruch wird abgelehnt werden.;;Esta solicitud será denegada;;;;;;;;;x
HymnsOfAbrahamDLC;Hymns of Abraham;Hymnes d'Abraham;Hymns of Abraham;;Himnos de Abraham;;;;;;;;;x
WoFUPDLC;Warriors of Faith Unit Pack;Pack d'Unités «Guerriers de la Foi»;Warriors of Faith Unit Pack;;Pack de Unidades Guerreros de la Fe;;;;;;;;;x
MOUPDLC;Military Orders Unit Pack;Pack d'Unités «Ordres Militaires»;Military Orders Unit Pack;;Pack de Unidades Ordenes Militares;;;;;;;;;x
REVOKE_TITLE_TOOLTIP;Revoke the title of §Y$TITLE$§! from §Y$HOLDER$§!;Révoquer le titre de §Y$TITLE$§! de §Y$HOLDER$§!;§Y$HOLDER$§! den Titel §Y$TITLE$§! entziehen;;Revocar el título de §Y$TITLE$§! de §Y$HOLDER$§!;;;;;;;;;x
#DESTROY_TITLE_TOOPTIP;Destroy the title of §Y$TITLE$§!.;;Den Titel §Y$TITLE$§! vernichten;;Destruir el título de §Y$TITLE$§!.;;;;;;;;;x
TITLE_DESTROY_TOOLTIP_IS_NOT_PRIMARY;Title is not the Primary Title;N'est pas votre titre principal;Der Titel ist nicht der Haupttitel;;El título no es el título principal;;;;;;;;;x
TITLE_DESTROY_TOOLTIP_CAN_AFFORD;Can afford to lose §Y$PRESTIGE$§! Prestige;Dispose d'un prestige d'au moins §Y$PRESTIGE$§!;Kann es sich leisten, §Y$PRESTIGE$§! Prestige zu verlieren;;Puede permitirse perder §Y$PRESTIGE$§! prestigio;;;;;;;;;x
TITLE_DESTROY_IS_NOT_GAVELKIND;Succession type is not Gavelkind;Le partage salique n'est pas la loi de succession en vigueur;Nachfolgerecht ist nicht Erbteilung;;Tipo de sucesión no es Partes Iguales;;;;;;;;;x
temple_baron_jewish_group;Rabbi;Rabbin;Rabbiner;;Rabino;;;;;;;;;x
temple_count_jewish_group;Kohen;Cohen;Kohen;;Kohen;;;;;;;;;x
temple_duke_jewish_group;Rabban;Rabbi;Rabban;;Rabban;;;;;;;;;x
temple_king_jewish_group;Nasi;Nassi;Nasi;;Nasi;;;;;;;;;x
