#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_badrinath;Badrinath;Badrinath;Badrinath;;Badrinath;;;;;;;;;x
b_srinagar;Srinagar;Srinagar;Srinagar;;Srinagar;;;;;;;;;x
b_tehri;Tehri;Tehri;Tehri;;Tehri;;;;;;;;;x
b_uttarkashi;Uttarkashi;Uttarkashi;Uttarkashi;;Uttarkashi;;;;;;;;;x
b_sudhnagar;Sudhnagar;Sudhnagar;Sudhnagar;;Sudhnagar;;;;;;;;;x
b_haridwar;Haridwar;Haridwar;Haridwar;;Haridwar;;;;;;;;;x
b_shimla;Shimla;Shimla;Shimla;;Shimla;;;;;;;;;x
b_nurpur;Nurpur;Nurpur;Nurpur;;Nurpur;;;;;;;;;x
b_chamba;Chamba;Chamba;Chamba;;Chamba;;;;;;;;;x
b_bharmour;Bharmour;Bharmour;Bharmour;;Bharmour;;;;;;;;;x
b_kullu;Kullu;Kullu;Kullu;;Kullu;;;;;;;;;x
b_skardu;Skardu;Skardu;Skardu;;Skardu;;;;;;;;;x
b_huldi;Huldi;Huldi;Huldi;;Huldi;;;;;;;;;x
b_madhupur_skardu;Madhupur;Madhupur;Madhupur;;Madhupur;;;;;;;;;x
b_kharkoo;Kharkoo;Kharkoo;Kharkoo;;Kharkoo;;;;;;;;;x
b_khaplu;Khaplu;Khaplu;Khaplu;;Khaplu;;;;;;;;;x
b_hilmat;Hilmat;Hilmat;Hilmat;;Hilmat;;;;;;;;;x
b_janwai;Janwai;Janwai;Janwai;;Janwai;;;;;;;;;x
b_jianggala;Jianggala;Jianggala;Jianggala;;Jianggala;;;;;;;;;x
b_hangdi;Hangdi;Hangdi;Hangdi;;Hangdi;;;;;;;;;x
b_kaladong;Kaladong;Kaladong;Kaladong;;Kaladong;;;;;;;;;x
b_zankan;Zankan;Zankan;Zankan;;Zankan;;;;;;;;;x
b_qiate;Qiate;Qiate;Qiate;;Qiate;;;;;;;;;x
b_bulongke;Bulongke;Bulongke;Bulongke;;Bulongke;;;;;;;;;x
b_gilgit;Gilgit;Gilgit;Gilgit;;Gilgit;;;;;;;;;x
b_danyor;Danyor;Danyor;Danyor;;Danyor;;;;;;;;;x
b_chitral;Chitral;Chitral;Chitral;;Chitral;;;;;;;;;x
b_minawar;Minawar;Minawar;Minawar;;Minawar;;;;;;;;;x
b_pahot;Pahot;Pahot;Pahot;;Pahot;;;;;;;;;x
b_chatorkhand;Chatorkhand;Chatorkhand;Chatorkhand;;Chatorkhand;;;;;;;;;x
b_barjangle;Barjangle;Barjangle;Barjangle;;Barjangle;;;;;;;;;x
b_bhairahawa;Bhairahawa;Bhairahawa;Bhairahawa;;Bhairahawa;;;;;;;;;x
b_sandhikharka;Sandhikharka;Sandhikharka;Sandhikharka;;Sandhikharka;;;;;;;;;x
b_taulihawa;Taulihawa;Taulihawa;Taulihawa;;Taulihawa;;;;;;;;;x
b_nigrodharama;Nigrodharama;Nigrodharama;Nigrodharama;;Nigrodharama;;;;;;;;;x
b_tulsipur;Tulsipur;Tulsipur;Tulsipur;;Tulsipur;;;;;;;;;x
b_musikot;Musikot;Musikot;Musikot;;Musikot;;;;;;;;;x
b_dullu;Dullu;Dullu;Dullu;;Dullu;;;;;;;;;x
b_dailekh;Dailekh;Dailekh;Dailekh;;Dailekh;;;;;;;;;x
b_gularia;Gularia;Gularia;Gularia;;Gularia;;;;;;;;;x
b_mahendranagar;Mahendranagar;Mahendranagar;Mahendranagar;;Mahendranagar;;;;;;;;;x
b_dadeldhura;Dadeldhura;Dadeldhura;Dadeldhura;;Dadeldhura;;;;;;;;;x
b_dhamboji;Dhamboji;Dhamboji;Dhamboji;;Dhamboji;;;;;;;;;x
b_khalanga;Khalanga;Khalanga;Khalanga;;Khalanga;;;;;;;;;x
b_jumla;Jumla;Jumla;Jumla;;Jumla;;;;;;;;;x
b_simikot;Simikot;Simikot;Simikot;;Simikot;;;;;;;;;x
b_chainpur;Chainpur;Chainpur;Chainpur;;Chainpur;;;;;;;;;x
b_dunai;Dunai;Dunai;Dunai;;Dunai;;;;;;;;;x
b_manma;Manma;Manma;Manma;;Manma;;;;;;;;;x
b_gamgadhi;Gamgadhi;Gamgadhi;Gamgadhi;;Gamgadhi;;;;;;;;;x
b_martadi;Martadi;Martadi;Martadi;;Martadi;;;;;;;;;x
b_pokhara;Pokhara;Pokhara;Pokhara;;Pokhara;;;;;;;;;x
b_marpha;Marpha;Marpha;Marpha;;Marpha;;;;;;;;;x
b_muktinath;Muktinath;Muktinath;Muktinath;;Muktinath;;;;;;;;;x
b_prithbinarayan;Prithbinarayan;Prithbinarayan;Prithbinarayan;;Prithbinarayan;;;;;;;;;x
b_butwal;Butwal;Butwal;Butwal;;Butwal;;;;;;;;;x
b_chame;Chame;Chame;Chame;;Chame;;;;;;;;;x
b_besisahar;Besisahar;Besisahar;Besisahar;;Besisahar;;;;;;;;;x
b_taplejung;Taplejung;Taplejung;Taplejung;;Taplejung;;;;;;;;;x
b_tambar;Tambar;Tambar;Tambar;;Tambar;;;;;;;;;x
b_gograha;Gograha;Gograha;Gograha;;Gograha;;;;;;;;;x
b_dhankuta;Dhankuta;Dhankuta;Dhankuta;;Dhankuta;;;;;;;;;x
b_myanglung;Myanglung;Myanglung;Myanglung;;Myanglung;;;;;;;;;x
b_ilam_limbuwan;Ilam;Ilam;Ilam;;Ilam;;;;;;;;;x
b_morong;Morong;Morong;Morong;;Morong;;;;;;;;;x
b_janakpur;Janakpur;Janakpur;Janakpur;;Janakpur;;;;;;;;;x
b_kamalamai;Kamalamai;Kamalamai;Kamalamai;;Kamalamai;;;;;;;;;x
b_birgunj;Birgunj;Birgunj;Birgunj;;Birgunj;;;;;;;;;x
b_bharatpur;Bharatpur;Bharatpur;Bharatpur;;Bharatpur;;;;;;;;;x
b_devghat;Devghat;Devghat;Devghat;;Devghat;;;;;;;;;x
b_hetauda;Hetauda;Hetauda;Hetauda;;Hetauda;;;;;;;;;x
b_kalaiya;Kalaiya;Kalaiya;Kalaiya;;Kalaiya;;;;;;;;;x
b_bhaktapur;Bhaktapur;Bhaktapur;Bhaktapur;;Bhaktapur;;;;;;;;;x
b_lalitpur;Lalitpur;Lalitpur;Lalitpur;;Lalitpur;;;;;;;;;x
b_patan_yala;Patan Yala;Patan Yala;Patan Yala;;Patan Yala;;;;;;;;;x
b_kirtipur;Kirtipur;Kirtipur;Kirtipur;;Kirtipur;;;;;;;;;x
b_pashupatinath;Pashupatinath;Pashupatinath;Pashupatinath;;Pashupatinath;;;;;;;;;x
b_nagarkot;Nagarkot;Nagarkot;Nagarkot;;Nagarkot;;;;;;;;;x
b_golmud;Golmud;Golmud;Golmud;;Golmud;;;;;;;;;x
b_lenghu;Lenghu;Lenghu;Lenghu;;Lenghu;;;;;;;;;x
b_mangnai;Mangnai;Mangnai;Mangnai;;Mangnai;;;;;;;;;x
b_qaidam;Qaidam;Qaidam;Qaidam;;Qaidam;;;;;;;;;x
b_qarham;Qarham;Qarham;Qarham;;Qarham;;;;;;;;;x
b_qingshui;Qingshui;Qingshui;Qingshui;;Qingshui;;;;;;;;;x
b_xinle;Xinle;Xinle;Xinle;;Xinle;;;;;;;;;x
b_maqen;Maqen;Maqen;Maqen;;Maqen;;;;;;;;;x
b_yegainnyin;Yegainnyin;Yegainnyin;Yegainnyin;;Yegainnyin;;;;;;;;;x
#b_wenquan;Wenquan;Wenquan;Wenquan;;Wenquan;;;;;;;;;x
b_rabyog;Rabyog;Rabyog;Rabyog;;Rabyog;;;;;;;;;x
b_rebkong;Rebkong;Rebkong;Rebkong;;Rebkong;;;;;;;;;x
b_ziketan;Ziketan;Ziketan;Ziketan;;Ziketan;;;;;;;;;x
b_markuthang;Markuthang;Markuthang;Markuthang;;Markuthang;;;;;;;;;x
b_jyekundo;Jyekundo;Jyekundo;Jyekundo;;Jyekundo;;;;;;;;;x
b_zadoi;Zadoi;Zadoi;Zadoi;;Zadoi;;;;;;;;;x
b_chindu;Chindu;Chindu;Chindu;;Chindu;;;;;;;;;x
b_zhidoi;Zhidoi;Zhidoi;Zhidoi;;Zhidoi;;;;;;;;;x
b_xangda;Zangda;Zangda;Zangda;;Zangda;;;;;;;;;x
b_doendrub;Doendrub;Doendrub;Doendrub;;Doendrub;;;;;;;;;x
b_dangla;Dangla;Dangla;Dangla;;Dangla;;;;;;;;;x
b_fuqi;Fuqi;Fuqi;Fuqi;;Fuqi;;;;;;;;;x
b_delingha;Delingha;Delingha;Delingha;;Delingha;;;;;;;;;x
b_gangca;Gangca;Gangca;Gangca;;Gangca;;;;;;;;;x
b_reshui;Reshui;Reshui;Reshui;;Reshui;;;;;;;;;x
b_ulan;Ulan;Ulan;Ulan;;Ulan;;;;;;;;;x
b_tianjun;Tianjun;Tianjun;Tianjun;;Tianjun;;;;;;;;;x
b_xuji;Xuji;Xuji;Xuji;;Xuji;;;;;;;;;x
b_markam;Markam;Markam;Markam;;Markam;;;;;;;;;x
#b_batang;Batang;Batang;Batang;;Batang;;;;;;;;;x
b_drorkong;Drorkong;Drorkong;Drorkong;;Drorkong;;;;;;;;;x
b_tsagalor;Tsagalor;Tsagalor;Tsagalor;;Tsagalor;;;;;;;;;x
b_chubarong;Chubarong;Chubarong;Chubarong;;Chubarong;;;;;;;;;x
b_zogong;Zogong;Zogong;Zogong;;Zogong;;;;;;;;;x
b_tsarung;Tsarung;Tsarung;Tsarung;;Tsarung;;;;;;;;;x
b_qamdo;Qamdo;Qamdo;Qamdo;;Qamdo;;;;;;;;;x
b_biru;Biru;Biru;Biru;;Biru;;;;;;;;;x
b_sog;Sog;Sog;Sog;;Sog;;;;;;;;;x
b_jomda;Jomda;Jomda;Jomda;;Jomda;;;;;;;;;x
b_gonjo;Gonjo;Gonjo;Gonjo;;Gonjo;;;;;;;;;x
#b_zhagyab;Zhagyab;Zhagyab;Zhagyab;;Zhagyab;;;;;;;;;x
b_riwoche;Riwoche;Riwoche;Riwoche;;Riwoche;;;;;;;;;x
b_nyingchi;Nyingchi;Nyingchi;Nyingchi;;Nyingchi;;;;;;;;;x
b_drakchi;Drakchi;Drakchi;Drakchi;;Drakchi;;;;;;;;;x
b_buchasergyi_lakang;Buchasergyi Lakang;Buchasergyi Lakang;Buchasergyi Lakang;;Buchasergyi Lakang;;;;;;;;;x
b_lamaling;Lamaling;Lamaling;Lamaling;;Lamaling;;;;;;;;;x
b_gongbogyamda;Gongbogyamda;Gongbogyamda;Gongbogyamda;;Gongbogyamda;;;;;;;;;x
b_bome;Bome;Bome;Bome;;Bome;;;;;;;;;x
b_alamdo;Alamdo;Alamdo;Alamdo;;Alamdo;;;;;;;;;x
b_dege;Dege;Dege;Dege;;Dege;;;;;;;;;x
#b_jianshe;Jianshe;Jianshe;Jianshe;;Jianshe;;;;;;;;;x
b_zhaggo;Zhaggo;Zhaggo;Zhaggo;;Zhaggo;;;;;;;;;x
b_dzongsar;Dzongsar;Dzongsar;Dzongsar;;Dzongsar;;;;;;;;;x
b_palpung;Palpung;Palpung;Palpung;;Palpung;;;;;;;;;x
b_kandze;Kandze;Kandze;Kandze;;Kandze;;;;;;;;;x
b_serxu;Serxu;Serxu;Serxu;;Serxu;;;;;;;;;x
b_pangong;Pangong;Pangong;Pangong;;Pangong;;;;;;;;;x
b_khumak;Khumak;Khumak;Khumak;;Khumak;;;;;;;;;x
b_spanggur;Spanggur;Spanggur;Spanggur;;Spanggur;;;;;;;;;x
b_kizilyeza;Kizilyeza;Kizilyeza;Kizilyeza;;Kizilyeza;;;;;;;;;x
b_aksayqin;Aksayqin;Aksayqin;Aksayqin;;Aksayqin;;;;;;;;;x
b_sumdo;Sumdo;Sumdo;Sumdo;;Sumdo;;;;;;;;;x
b_surigh;Surigh;Surigh;Surigh;;Surigh;;;;;;;;;x
b_diskit;Diskit;Diskit;Diskit;;Diskit;;;;;;;;;x
b_thirit;Thirit;Thirit;Thirit;;Thirit;;;;;;;;;x
b_hundar;Hundar;Hundar;Hundar;;Hundar;;;;;;;;;x
b_thoise;Thoise;Thoise;Thoise;;Thoise;;;;;;;;;x
b_charassa;Charassa;Charassa;Charassa;;Charassa;;;;;;;;;x
b_panamik;Panamik;Panamik;Panamik;;Panamik;;;;;;;;;x
b_unmaru;Unmaru;Unmaru;Unmaru;;Unmaru;;;;;;;;;x
b_leh;Leh;Leh;Leh;;Leh;;;;;;;;;x
b_keylong;Keylong;Keylong;Keylong;;Keylong;;;;;;;;;x
b_gya;Gya;Gya;Gya;;Gya;;;;;;;;;x
b_shakti;Shakti;Shakti;Shakti;;Shakti;;;;;;;;;x
b_thiksey;Thiksey;Thiksey;Thiksey;;Thiksey;;;;;;;;;x
b_chuchot_yakma;Chuchot Yakma;Chuchot Yakma;Chuchot Yakma;;Chuchot Yakma;;;;;;;;;x
b_chumathang;Chumathang;Chumathang;Chumathang;;Chumathang;;;;;;;;;x
b_sakya;Sakya;Sakya;Sakya;;Sakya;;;;;;;;;x
#b_lhatse;Lhatse;Lhatse;Lhatse;;Lhatse;;;;;;;;;x
b_tingri;Tingri;Tingri;Tingri;;Tingri;;;;;;;;;x
b_shelkar;Shelkar;Shelkar;Shelkar;;Shelkar;;;;;;;;;x
b_drampa_gyang_lhakhang;Drampa Gyang Lhakhang;Drampa Gyang Lhakhang;Drampa Gyang Lhakhang;;Drampa Gyang Lhakhang;;;;;;;;;x
b_dzongkha;Dzongkha;Dzongkha;Dzongkha;;Dzongkha;;;;;;;;;x
b_gyagya;Gyagya;Gyagya;Gyagya;;Gyagya;;;;;;;;;x
b_lo;Lo;Lo;Lo;;Lo;;;;;;;;;x
b_chhonhup;Chhonhup;Chhonhup;Chhonhup;;Chhonhup;;;;;;;;;x
b_tetang;Tetang;Tetang;Tetang;;Tetang;;;;;;;;;x
b_kagbeni;Kagbeni;Kagbeni;Kagbeni;;Kagbeni;;;;;;;;;x
b_chhusang;Chhusang;Chhusang;Chhusang;;Chhusang;;;;;;;;;x
b_chhoser;Chhoser;Chhoser;Chhoser;;Chhoser;;;;;;;;;x
b_drak_gyawu;Drak Gyawu;Drak Gyawu;Drak Gyawu;;Drak Gyawu;;;;;;;;;x
b_coqen;Coqen;Coqen;Coqen;;Coqen;;;;;;;;;x
b_zhulongcun;Zhulongcun;Zhulongcun;Zhulongcun;;Zhulongcun;;;;;;;;;x
b_jiugongcun;Jiugongcun;Jiugongcun;Jiugongcun;;Jiugongcun;;;;;;;;;x
b_zhuglung;Zhuglung;Zhuglung;Zhuglung;;Zhuglung;;;;;;;;;x
b_dawaxung;Dawaxung;Dawaxung;Dawaxung;;Dawaxung;;;;;;;;;x
b_duichiwu;Duichiwu;Duichiwu;Duichiwu;;Duichiwu;;;;;;;;;x
b_bangkor;Bangkor;Bangkor;Bangkor;;Bangkor;;;;;;;;;x
b_purang;Purang;Purang;Purang;;Purang;;;;;;;;;x
b_tingche;Tingche;Tingche;Tingche;;Tingche;;;;;;;;;x
b_taya;Taya;Taya;Taya;;Taya;;;;;;;;;x
b_gangzi;Gangzi;Gangzi;Gangzi;;Gangzi;;;;;;;;;x
b_zijiegong;Zijiegong;Zijiegong;Zijiegong;;Zijiegong;;;;;;;;;x
b_khorzhak;Khorzhak;Khorzhak;Khorzhak;;Khorzhak;;;;;;;;;x
b_simbiling;Simbiling;Simbiling;Simbiling;;Simbiling;;;;;;;;;x
b_kangtuo;Kangtuo;Kangtuo;Kangtuo;;Kangtuo;;;;;;;;;x
b_kyunglung;Kyunglung;Kyunglung;Kyunglung;;Kyunglung;;;;;;;;;x
b_re_xijiama;Re Xijiama;Re Xijiama;Re Xijiama;;Re Xijiama;;;;;;;;;x
b_tirthapuri;Tirthapuri;Tirthapuri;Tirthapuri;;Tirthapuri;;;;;;;;;x
b_lhara;Lhara;Lhara;Lhara;;Lhara;;;;;;;;;x
b_xalazakung;Xalazakung;Xalazakung;Xalazakung;;Xalazakung;;;;;;;;;x
b_gyanyima;Gyanyima;Gyanyima;Gyanyima;;Gyanyima;;;;;;;;;x
b_qulongcun;Qulongcun;Qulongcun;Qulongcun;;Qulongcun;;;;;;;;;x
b_gangutluk;Gangutluk;Gangutluk;Gangutluk;;Gangutluk;;;;;;;;;x
b_pelrap;Pelrap;Pelrap;Pelrap;;Pelrap;;;;;;;;;x
b_yanghu;Yanghu;Yanghu;Yanghu;;Yanghu;;;;;;;;;x
b_shor_kul;Shor Kul;Shor Kul;Shor Kul;;Shor Kul;;;;;;;;;x
b_uztag;Uztag;Uztag;Uztag;;Uztag;;;;;;;;;x
b_kyungmoztag;Kyungmoztag;Kyungmoztag;Kyungmoztag;;Kyungmoztag;;;;;;;;;x
b_chutsen;Chutsen;Chutsen;Chutsen;;Chutsen;;;;;;;;;x
b_rutog;Rutog;Rutog;Rutog;;Rutog;;;;;;;;;x
b_jiaweichao;Jiaweichao;Jiaweichao;Jiaweichao;;Jiaweichao;;;;;;;;;x
b_de_jiao;De Jiao;De Jiao;Jiao;;De Jiao;;;;;;;;;x
b_rituzhen;Rituzhen;Rituzhen;Rituzhen;;Rituzhen;;;;;;;;;x
b_rawang_rutog;Rawang Rutog;Rawang Rutog;Rawang Rutog;;Rawang Rutog;;;;;;;;;x
b_zhabsang;Zhabsang;Zhabsang;Zhabsang;;Zhabsang;;;;;;;;;x
b_yageide;Yageide;Yageide;Yageide;;Yageide;;;;;;;;;x
b_gar;Gar;Gar;Gar;;Gar;;;;;;;;;x
b_gegyai;Gegyai;Gegyai;Gegyai;;Gegyai;;;;;;;;;x
b_bugongcun;Bugongcun;Bugongcun;Bugongcun;;Bugongcun;;;;;;;;;x
b_bijia;Bijia;Bijia;Bijia;;Bijia;;;;;;;;;x
b_gaerka;Gaerka;Gaerka;Gaerka;;Gaerka;;;;;;;;;x
b_gunsa;Gunsa;Gunsa;Gunsa;;Gunsa;;;;;;;;;x
b_suwenbu;Suwenbu;Suwenbu;Suwenbu;;Suwenbu;;;;;;;;;x
b_tsaparang;Tsaparang;Tsaparang;Tsaparang;;Tsaparang;;;;;;;;;x
b_tholing;Tholing;Tholing;Tholing;;Tholing;;;;;;;;;x
b_mangga;Mangga;Mangga;Mangga;;Mangga;;;;;;;;;x
b_dongqiu;Dongqiu;Dongqiu;Dongqiu;;Dongqiu;;;;;;;;;x
b_mangnang;Mangnang;Mangnang;Mangnang;;Mangnang;;;;;;;;;x
b_gurugem;Gurugem;Gurugem;Gurugem;;Gurugem;;;;;;;;;x
#b_qusum;Qusum;Qusum;Qusum;;Qusum;;;;;;;;;x
b_gartok;Gartok;Gartok;Gartok;;Gartok;;;;;;;;;x
b_gerze;Gerze;Gerze;Gerze;;Gerze;;;;;;;;;x
b_lumaringbo;Lumaringbo;Lumaringbo;Lumaringbo;;Lumaringbo;;;;;;;;;x
b_oma;Oma;Oma;Oma;;Oma;;;;;;;;;x
b_dongco;Dongco;Dongco;Dongco;;Dongco;;;;;;;;;x
b_naqen;Naqen;Naqen;Naqen;;Naqen;;;;;;;;;x
b_marme;Marme;Marme;Marme;;Marme;;;;;;;;;x
b_kangtog;Kangtog;Kangtog;Kangtog;;Kangtog;;;;;;;;;x
b_nyima;Nyima;Nyima;Nyima;;Nyima;;;;;;;;;x
b_tanglaicun;Tanglaicun;Tanglaicun;Tanglaicun;;Tanglaicun;;;;;;;;;x
b_jiwa;Jiwa;Jiwa;Jiwa;;Jiwa;;;;;;;;;x
b_jialongcun;Jialongcun;Jialongcun;Jialongcun;;Jialongcun;;;;;;;;;x
b_doijiang;Doijiang;Doijiang;Doijiang;;Doijiang;;;;;;;;;x
b_zaqog;Zaqog;Zaqog;Zaqog;;Zaqog;;;;;;;;;x
b_dogyaling;Dogyaling;Dogyaling;Dogyaling;;Dogyaling;;;;;;;;;x
b_nagchu;Nagchu;Nagchu;Nagchu;;Nagchu;;;;;;;;;x
b_lhari;Lhari;Lhari;Lhari;;Lhari;;;;;;;;;x
b_baingoin;Baingoin;Baingoin;Baingoin;;Baingoin;;;;;;;;;x
b_nyainrong;Nyainrong;Nyainrong;Nyainrong;;Nyainrong;;;;;;;;;x
b_tashi_dor;Tashi Dor;Tashi Dor;Tashi Dor;;Tashi Dor;;;;;;;;;x
#b_namco;Namco;Namco;Namco;;Namco;;;;;;;;;x
b_lhomar;Lhomar;Lhomar;Lhomar;;Lhomar;;;;;;;;;x
b_amdo;Amdo;Amdo;Amdo;;Amdo;;;;;;;;;x
b_zhasa;Zhasa;Zhasa;Zhasa;;Zhasa;;;;;;;;;x
b_rolagang;Rolagang;Rolagang;Rolagang;;Rolagang;;;;;;;;;x
b_gangnyi;Gangnyi;Gangnyi;Gangnyi;;Gangnyi;;;;;;;;;x
b_maqingcun;Maqingcun;Maqingcun;Maqingcun;;Maqingcun;;;;;;;;;x
b_muleyang_dimacun;Muleyang Dimacun;Muleyang Dimacun;Muleyang Dimacun;;Muleyang Dimacun;;;;;;;;;x
b_tangrongcun;Tangrongcun;Tangrongcun;Tangrongcun;;Tangrongcun;;;;;;;;;x
b_gangdoz;Gangdoz;Gangdoz;Gangdoz;;Gangdoz;;;;;;;;;x
b_mangan;Mangan;Mangan;Mangan;;Mangan;;;;;;;;;x
b_gyalshing;Gyalshing;Gyalshing;Gyalshing;;Gyalshing;;;;;;;;;x
b_namchi;Namchi;Namchi;Namchi;;Namchi;;;;;;;;;x
b_rumtheg;Rumtheg;Rumtheg;Rumtheg;;Rumtheg;;;;;;;;;x
b_ralang;Ralang;Ralang;Ralang;;Ralang;;;;;;;;;x
b_rangpo;Rangpo;Rangpo;Rangpo;;Rangpo;;;;;;;;;x
b_paro;Paro;Paro;Paro;;Paro;;;;;;;;;x
b_kyichu;Kyichu;Kyichu;Kyichu;;Kyichu;;;;;;;;;x
b_taktshang;Taktshang;Taktshang;Taktshang;;Taktshang;;;;;;;;;x
b_hungrel;Hungrel;Hungrel;Hungrel;;Hungrel;;;;;;;;;x
b_damthang;Damthang;Damthang;Damthang;;Damthang;;;;;;;;;x
b_tshalunang;Tshalunang;Tshalunang;Tshalunang;;Tshalunang;;;;;;;;;x
b_gasa;Gasa;Gasa;Gasa;;Gasa;;;;;;;;;x
b_lhasa;Lhasa;Lhasa;Lhasa;;Lhasa;;;;;;;;;x
b_jokhang;Jokhang;Jokhang;Jokhang;;Jokhang;;;;;;;;;x
b_reting;Reting;Reting;Reting;;Reting;;;;;;;;;x
b_kunggar;Kunggar;Kunggar;Kunggar;;Kunggar;;;;;;;;;x
b_quxu;Quxu;Quxu;Quxu;;Quxu;;;;;;;;;x
b_ramoche;Ramoche;Ramoche;Ramoche;;Ramoche;;;;;;;;;x
b_potala;Potala;Potala;Potala;;Potala;;;;;;;;;x
b_lhunzhub;Lhunzhub;Lhunzhub;Lhunzhub;;Lhunzhub;;;;;;;;;x
b_gyantse;Gyantse;Gyantse;Gyantse;;Gyantse;;;;;;;;;x
b_palcho;Palcho;Palcho;Palcho;;Palcho;;;;;;;;;x
b_bainang;Bainang;Bainang;Bainang;;Bainang;;;;;;;;;x
b_kangmar;Kangmar;Kangmar;Kangmar;;Kangmar;;;;;;;;;x
b_rinbung;Rinbung;Rinbung;Rinbung;;Rinbung;;;;;;;;;x
b_drongtse;Drongtse;Drongtse;Drongtse;;Drongtse;;;;;;;;;x
b_yatung;Yatung;Yatung;Yatung;;Yatung;;;;;;;;;x
b_shigatse;Shigatse;Shigatse;Shigatse;;Shigatse;;;;;;;;;x
b_namling;Namling;Namling;Namling;;Namling;;;;;;;;;x
b_tashilhunpo;Tashilhunpo;Tashilhunpo;Tashilhunpo;;Tashilhunpo;;;;;;;;;x
b_shalu;Shalu;Shalu;Shalu;;Shalu;;;;;;;;;x
b_deleg;Deleg;Deleg;Deleg;;Deleg;;;;;;;;;x
#b_nyemo;Nyemo;Nyemo;Nyemo;;Nyemo;;;;;;;;;x
b_naktsang;Baktsang;Baktsang;Baktsang;;Baktsang;;;;;;;;;x
b_taktse;Taktse;Taktse;Taktse;;Taktse;;;;;;;;;x
b_zetang;Zetang;Zetang;Zetang;;Zetang;;;;;;;;;x
b_samye;Samye;Samye;Samye;;Samye;;;;;;;;;x
b_tradruk;Tradruk;Tradruk;Tradruk;;Tradruk;;;;;;;;;x
b_yungbulakang;Yungbulakang;Yungbulakang;Yungbulakang;;Yungbulakang;;;;;;;;;x
b_nagarze;Nagarze;Nagarze;Nagarze;;Nagarze;;;;;;;;;x
b_gonggar;Gonggar;Gonggar;Gonggar;;Gonggar;;;;;;;;;x
b_bumthang;Bumthang;Bumthang;Bumthang;;Bumthang;;;;;;;;;x
b_jambay;Jambay;Jambay;Jambay;;Jambay;;;;;;;;;x
b_kongchogsum;Kongchogsum;Kongchogsum;Kongchogsum;;Kongchogsum;;;;;;;;;x
b_trongsa;Trongsa;Trongsa;Trongsa;;Trongsa;;;;;;;;;x
b_singye;Singye;Singye;Singye;;Singye;;;;;;;;;x
b_trashigang;Trashigang;Trashigang;Trashigang;;Trashigang;;;;;;;;;x
b_zugne;Zugne;Zugne;Zugne;;Zugne;;;;;;;;;x
b_tawang;Tawang;Tawang;Tawang;;Tawang;;;;;;;;;x
b_itanagar;Itanagar;Itanagar;Itanagar;;Itanagar;;;;;;;;;x
b_sepla;Sepla;Sepla;Sepla;;Sepla;;;;;;;;;x
b_bameng;Bameng;Bameng;Bameng;;Bameng;;;;;;;;;x
b_bomdila;Bomdila;Bomdila;Bomdila;;Bomdila;;;;;;;;;x
b_koloriang;Koloriang;Koloriang;Koloriang;;Koloriang;;;;;;;;;x
b_joram;Joram;Joram;Joram;;Joram;;;;;;;;;x
b_lhoyu;Lhoyu;Lhoyu;Lhoyu;;Lhoyu;;;;;;;;;x
b_anini;Anini;Anini;Anini;;Anini;;;;;;;;;x
b_dambuk;Dambuk;Dambuk;Dambuk;;Dambuk;;;;;;;;;x
b_namsai;Namsai;Namsai;Namsai;;Namsai;;;;;;;;;x
b_diyun;Diyun;Diyun;Diyun;;Diyun;;;;;;;;;x
b_yingkiong;Yingkiong;Yingkiong;Yingkiong;;Yingkiong;;;;;;;;;x
b_hawai;Hawai;Hawaï;Hawai;;Hawai;;;;;;;;;x
khurmazta;Khurmazta;khurmazta;Khurmazta;;Khurmazta;;;;;;;;;x
khurmazta_DESC;Khurmazta (Zarvana) is syncretic form of Zoroastrianism which was practiced among the Sogdians. It mixes Zoroastrianism with Hinduism, Buddhism and various pagan religions. Aside from Khurmazta, lesser deities such as Weshparkar, God of Wind, are worshipped and made offerings, usually in form of small statues.;Le khurmazta (Zarvana) est une forme syncrétique du zoroastrisme qui a été pratiqué par les Sogdiens. Il mélange le zoroastrisme avec l'hindouisme, le bouddhisme et diverses religions païennes. Mis à part Khurmazta, des divinités inférieures telles que Weshparkar, dieu du Vent, sont adorées et reçoivent des offrandes, habituellement sous forme de petites statues.;Khurmazta (Zarvana) ist eine synkretistische Form des Zoroastrianismus, der unter den Sogdianern praktiziert wurde. Er vermischt Zoroastrianismus mit Hinduismus, Buddhismus und verschiedenen heidnischem Religionen. Abgesehen von Khurmazta werden kleinere Gottheiten wie Weshparkar, dem Gott des Windes, verehrt und Opfergaben gemacht, meist in Form von kleinen Statuen.;;Khurmazta (zarvana) es una forma sincrética de zoroastrismo que se practicaba entre los sogdianos. Mezcla zoroastrismo con hinduismo, budismo y varias religiones paganas. Además de Khurmazta, también se adoran deidades menores como Weshparkar, dios del viento y se les hacen ofrendas, normalmente en forma de estatuillas.;;;;;;;;;x
khurmazta_FEATURES;§Y*§! Rulers may select a lesser deity to honor;§Y*§! Les dirigeants peuvent choisir une divinité inférieure à honorer;§Y*§! Herrscher können eine niedere Gottheit zum Anbeten auswählen;;§Y*§! Gobernantes pueden elegir honrar a una deidad menor;;;;;;;;;x
GOD_DESI;Desi;Desi;Desi;;Desi;;;;;;;;;x
