#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
TOOLTIP_DISALLOW_TRUE_COGNATIC;Disallows Absolute Cognatic succession laws\n;Empêche la loi de succession cognatique\n;Verbietet absolut kognatische Erbfolgerechte\n;;No permite las leyes de sucesión absoluta consanguínea\n;;;;;;;;x
TOOLTIP_ALLOW_TRUE_COGNATIC;Allows Absolute Cognatic succession laws\n;Autorise les lois de succession cognatique\n;Erlaubt absolut kognatische Erbfolgerechte\n;;Permite las leyes de sucesión absoluta consanguínea\n;;;;;;;;x
#TOOLTIP_ALLOW_ADDITIONAL_SUCCESSION_LAWS;Allows additional succession laws\n;Autorise les lois de succession supplémentaires.\n;Erlaubt zusätzliche Erbfolgerechte.\n;;Permite las leyes de sucesión adicional\n;;;;;;;;;x
#TOOLTIP_DISALLOW_ADDITIONAL_SUCCESSION_LAWS;Disallows additional succession laws\n;Empêche les lois de succession supplémentaires.\n;Verbietet zusätzliche Erbfolgerechte.\n;;No permite las leyes de sucesión adicional\n;;;;;;;;;x
opinion_powerful_vassal_not_voter;Wants Seat on the Council;Veut un siège au Conseil;Möchte einen Sitz im Rat;;Quiere un sitio en el Consejo;;;;;;;;;x
FORM_NON_AGGRESSION_PACT_INTERACTION_DESC;Form a Non-Aggression Pact between §Y[Actor.GetBestName]§! and §Y[Recipient.GetBestName]§!.;Signer un pacte de non-agression entre §Y[Actor.GetBestName]§! et §Y[Recipient.GetBestName]§!.;Einen Nichtangriffspakt zwischen §Y[Actor.GetBestName]§! und §Y[Recipient.GetBestName]§! bilden.;;Formar un pacto de no agresión entre §Y[Actor.GetBestName]§! y §Y[Recipient.GetBestName]§!.;;;;;;;;;x
FORM_NON_AGGRESSION_PACT_INTERACTION_LONG_DESC;If your dynastic bonds are close enough, you can offer a Non-Aggression Pact to another character.;Si vos liens dynastiques sont assez étroits, vous pouvez proposer un pacte de non-agression à un autre personnage.;Wenn Eure dynastischen Bindungen eng genug sind, könnt Ihr einem anderen Charakter einen Nichtangriffspakt anbieten.;;Si los lazos dinásticos son lo suficientemente cercanos, puedes ofrecer un pacto de no agresión a otro personaje.;;;;;;;;;x
FORM_NON_AGGRESSION_PACT_INTERACTION_LETTER;\nI offer to form a Non-Aggression Pact with you.;\nJ'offre de signer un pacte de non-agression avec vous.;\nIch biete Euch einen Nichtangriffspakt an.;;\nOfrezco forjar un pacto de no agresión contigo.;;;;;;;;;x
FORM_NON_AGGRESSION_PACT_INTERACTION_LETTER_GET;\nLet us form a Non-Aggression Pact.;\nSignons ensemble un pacte de non-agression.;\nLasst uns einen Nichtangriffspakt bilden.;;\nDebemos forjar un pacto de no agresión.;;;;;;;;;x
FORM_NON_AGGRESSION_PACT_INTERACTION_REQ;§Y[Actor.GetBestName]§! can form a Non-Aggression Pact with §Y[Recipient.GetBestName]§!;§Y[Actor.GetBestName]§! peut signer un pacte de non-agression avec §Y[Recipient.GetBestName]§!;§Y[Actor.GetBestName]§! kann einen Nichtangriffspakt mit §Y[Recipient.GetBestName]§! bilden.;;§Y[Actor.GetBestName]§! puede forjar un pacto de no agresión con §Y[Recipient.GetBestName]§!;;;;;;;;;x
FORM_NON_AGGRESSION_PACT_INTERACTION_REJECTED_REQ;§Y[Recipient.GetBestName]§! has not recently rejected to form a Non-Aggression Pact with §Y[Actor.GetBestName]§!;§Y[Recipient.GetBestName]§! n'a pas refusé de pacte de non-agression avec §Y[Actor.GetBestName]§! récemment;§Y[Recipient.GetBestName]§! hat nicht vor Kurzem abgelehnt, einen Nichtangriffspakt mit §Y[Actor.GetBestName]§! zu bilden.;;§Y[Recipient.GetBestName]§! no ha rechazado recientemente forjar un pacto de no agresión con §Y[Actor.GetBestName]§!;;;;;;;;;x
EVTDESC524;I, [From.GetBestName], accept your proposal for a Non-Aggression Pact!;Moi, [From.GetBestName], accepte votre proposition de signer un pacte de non-agression !;Ich, [From.GetBestName], willige in den von Euch vorgeschlagenen Nichtangriffspakt ein!;;¡Yo, [From.GetBestName],acepta su oferta de un Pacto de no agresión!;;;;;;;;;x
EVTDESC525;I, [From.GetBestName], unfortunately have to decline your proposal for a Non-Aggression Pact!;Moi, [From.GetBestName], dois malheureusement décliner votre proposition de signer un pacte de non-agression !;Ich, [From.GetBestName], muss den von Euch vorgeschlagenen Nichtangriffspakt leider ablehnen!;;¡Yo, [From.GetBestName], lamentablemente debo rechazar tu oferta de un Pacto de no agresión!;;;;;;;;;x
EVTOPTA524;A wise choice.;Un choix judicieux.;Eine weise Entscheidung.;;Una opción sabia.;;;;;;;;;x
EVTOPTA525;What is the [GetFromRootInsult] planning?;Qu'est-ce que cette espèce [GetFromRootInsultNounAdj] mijote ?;Was plant dieser [GetFromRootInsult]?;;¿Qué está tramando ese [GetFromRootInsult]?;;;;;;;;;x
COUNCILOR_LAW_CHANGE_ON_LIEGE_REALM_NOTIFICATION;$COUNCILOR$ has decided to institute the $LAW$ Law in $TITLE$;$COUNCILOR$ a décidé d'instituer la loi $LAW$ en $TITLE$;$COUNCILOR$ hat entschieden, das Gesetz $LAW$ in $TITLE$ einzuführen.;;$COUNCILOR$ ha decidido instituir la ley $LAW$  ley en $TITLE$;;;;;;;;;x
VOTE_AS_FAVOR_OWNER_SETUP;Vote as favor owner on law change while returning favor;Voter un changement de loi pour honorer la faveur due;Als Besitzer des Gefallens zur Gesetzesänderung abstimmen und den Gefallen erwidern.;;Vota como deudor de un favor el cambio de la ley devolviendo el favor.;;;;;;;;;x
COUNCILOR_LAW_CHANGE_IN_LIEGE_REALM_SETUP;Councilor initiating law change in liege's realm by using favor;Un conseiller initie un changement de loi contre son seigneur via une faveur;Ratsmitglied nutzt einen Gefallen, um eine Gesetzesänderung im Reich des Lehnsherrn zu veranlassen.;;El consejero inicia modificación de la ley en el reino del señor usando un favor.;;;;;;;;;x
COUNCILOR_LAW_CHANGE_IN_LIEGE_REALM_LOG;By calling in a Favor $COUNCILOR|Y$ has forced you to start a vote on the $LAW|Y$ Law in $TITLE|Y$.;Utilisant une faveur due, $COUNCILOR|Y$ vous a contraint à initier un vote sur la loi '$LAW|Y$' en $TITLE|Y$.;$COUNCILOR|Y$ hat einen Gefallen eingefordert und Euch gezwungen, eine Abstimmung zum Gesetz "$LAW|Y$" in $TITLE|Y$ zu beginnen.;;Al reclamar un favor, $COUNCILOR|Y$ te ha obligado a iniciar una votación sobre la ley $LAW|Y$ en $TITLE|Y$.;;;;;;;;;x
ALLIANCE_BROKEN_SETUP;When alliance is broken;Quand l'alliance est dissoute;Wenn das Bündnis gebrochen wird;;Cuando se rompe la alianza;;;;;;;;;x
ALLIANCE_BROKEN_LOG;The alliance between $CHAR$ and $ALLY$ has broken down;L'alliance entre $CHAR$ et $ALLY$ a été dissoute;Das Bündnis zwischen $CHAR$ und $ALLY$ ist zerbrochen.;;La alianza entre $CHAR$ y $ALLY$ se ha roto.;;;;;;;;;x
VOTE_AS_REQUESTOR_LOG;$CHARACTER|Y$ has voted $VOTE$ $LAW|Y$ due to $REQUESTOR$ requesting support.;$CHARACTER|Y$ $VOTE$ la loi '$LAW|Y$' en raison de la demande de soutien de $REQUESTOR$.;$CHARACTER|Y$ stimmte $VOTE$ zu $LAW|Y$, da $REQUESTOR$ um Unterstützung bat.;;$CHARACTER|Y$ ha votado $VOTE$ $LAW|Y$ debido a que $REQUESTOR$ solicitaba apoyo.;;;;;;;;;x
VOTE_AS_REQUESTOR_SETUP;Vote as requestor requesting support on law change;Voter sur le changement de loi comme demandé;Als Antragsteller Hilfe erbitten und zur Gesetzesänderung abstimmen;;Votar como solicitante pidiendo apoyo para el cambio de la ley;;;;;;;;;x
ConclaveDLC;Conclave;Le Conseil (Conclave);Conclave;;Cónclave;;;;;;;;;x
UNDECIDED;Undecided;Indécis;Unentschieden;;Indeciso;;;;;;;;;x
LOWER_RELATIVE_POWER_WITH_ALLIES;Army size with allies is less than $VAL|Y%$ of that of $OTHER|Y$ with allies.;La taille de l'armée, incluant les alliés, équivaut à seulement $VAL|Y%$ de celle de $OTHER|Y$ avec ses alliés.;Armeegröße mit Verbündeten ist unter $VAL|Y%$ der Armeegröße von $OTHER|Y$ mit Verbündeten.;;Tamaño del ejército con los aliados es menos de $VAL|Y%$ del de $OTHER|Y$ con los aliados.;;;;;;;;;x
HIGHER_RELATIVE_POWER_WITH_ALLIES;Army size with allies is at least $VAL|Y%$ of that of $OTHER|Y$ with allies.;La taille de l'armée, incluant les alliés, équivaut à au moins $VAL|Y%$ de celle de $OTHER|Y$ avec ses alliés.;Armeegröße mit Verbündeten ist mindestens $VAL|Y%$ der Armeegröße von $OTHER|Y$ mit Verbündeten.;;Tamaño del ejército con los aliados es de al menos $VAL|Y%$  del de $OTHER|Y$ con los aliados.;;;;;;;;;x
#INTERACTION_COALITION_REQUIRES_INFAMY_LIMIT;§Y[Recipient.GetTitledFirstName]§! must have at least $NUM|Y0%$ Infamy;;§Y[Recipient.GetTitledFirstName]§! benötigt mindestens $NUM|Y0%$ Infamie.;;§Y[Recipient.GetTitledFirstName]§! debe tener al menos  $NUM|Y%$ infamia.;;;;;;;;;x
#COALITION_SIZE;Infamy: $INFAMY|Y$/$LIMIT|Y$;;Infamie: $INFAMY|Y$/$LIMIT|Y$;;Infamia: $INFAMY|Y$/$LIMIT|Y$;;;;;;;;;x
FAVOR_INVITE;Force acceptance of an Invite to Court proposal;Forcer l'acceptation d'une invitation à la Cour;Erzwingt die Annahme einer vorgeschlagenen Einladung zum Hof;;Obliga a aceptar la propuesta de Invitación a la corte;;;;;;;;;x
FAVOR_JOIN_WAR;Force acceptance of a Call to Arms;Forcer l'acceptation d'un appel aux armes;Erzwingt die Annahme eines vorgeschlagenen Rufs zu den Waffen;;Obliga a aceptar una Llamada a las armas;;;;;;;;;x
FAVOR_EMBARGO;Force acceptance of an Ask to Embargo proposal;Forcer l'acceptation d'une demande de mise sous embargo;Erzwingt die Annahme einer vorgeschlagenen Aufforderung zum Embargo;;Obliga a aceptar una propuesta de Solicitud de embargo;;;;;;;;;x
FAVOR_JOIN_FACTION;Force someone to join factions you lead;Forcer quelqu'un à rejoindre les factions que vous dirigez;Erzwingt den Beitritt zu Fraktionen, die Ihr leitet;;Obliga a alguien a unirse a las facciones que lideras;;;;;;;;;x
FAVOR_COUNCIL_POSITION;Force your liege to give you a Council position;Forcer votre seigneur lige à vous offrir un poste au sein du Conseil;Zwingt Euren Lehnsherrn, Euch eine Ratsposition zu geben;;Obliga a tu señor a darte un puesto en el Consejo;;;;;;;;;x
FAVOR_PREVENT_ENFORCE_PEACE;Prevent or force a Realm Peace from your liege;Forcer ou empêcher la paix imposée dans le pays par votre seigneur lige;Verhindert oder erzwingt die Durchsetzung eines Reichsfriedens durch Euren Lehnsherrn;;Impedir u obligar una Paz del Reino de tu señor;;;;;;;;;;x
CALL_IN_FAVOR_INTERACTION_TITLE;Call in Council Support;Solliciter le soutien au Conseil;Fordert im Rat Unterstützung;;Pedir el apoyo del Consejo;;;;;;;;;x
