#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nick_the_inquisitor;the Inquisitor;l'Inquisiteur;[This.Getderdie] Inquisitor[This.GetinFemale];;el Inquisidor;;;;;;;;;x
secret_religious_society_baltic_pagan_rank_4_male;Herald;Messager;Herold;;Mensajero;;;;;;;;;x
secret_religious_society_finnish_pagan_rank_1_female;Faithful;Fidèle;Gläubige;;Fiel;;;;;;;;;x
secret_religious_society_finnish_pagan_rank_2_female;Adherent;Adhérente;Anhängerin;;Seguidora;;;;;;;;;x
secret_religious_society_finnish_pagan_rank_3_female;Preacher;Prêcheuse;Predigerin;;Predicadora;;;;;;;;;x
secret_religious_society_finnish_pagan_rank_4_female;Herald;Messagère;Heroldin;;Mensajera;;;;;;;;;x
secret_religious_society_finnish_pagan_rank_1_male;Faithful;Fidèle;Gläubiger;;Fiel;;;;;;;;;x
secret_religious_society_finnish_pagan_rank_2_male;Adherent;Adhérent;Anhänger;;Seguidor;;;;;;;;;x
secret_religious_society_finnish_pagan_rank_3_male;Preacher;Prêcheur;Prediger;;Predicador;;;;;;;;;x
secret_religious_society_finnish_pagan_rank_4_male;Herald;Messager;Herold;;Mensajero;;;;;;;;;x
secret_religious_society_slavic_pagan_rank_1_female;Faithful;Fidèle;Gläubige;;Fiel;;;;;;;;;x
secret_religious_society_slavic_pagan_rank_2_female;Adherent;Adhérente;Anhängerin;;Seguidora;;;;;;;;;x
secret_religious_society_slavic_pagan_rank_3_female;Preacher;Prêcheuse;Predigerin;;Predicadora;;;;;;;;;x
secret_religious_society_slavic_pagan_rank_4_female;Herald;Messagère;Heroldin;;Mensajera;;;;;;;;;x
secret_religious_society_slavic_pagan_rank_1_male;Faithful;Fidèle;Gläubiger;;Fiel;;;;;;;;;x
secret_religious_society_slavic_pagan_rank_2_male;Adherent;Adhérent;Anhänger;;Seguidor;;;;;;;;;x
secret_religious_society_slavic_pagan_rank_3_male;Preacher;Prêcheur;Prediger;;Predicador;;;;;;;;;x
secret_religious_society_slavic_pagan_rank_4_male;Herald;Messager;Herold;;Mensajero;;;;;;;;;x
secret_religious_society_tengri_pagan_rank_1_female;Faithful;Fidèle;Gläubige;;Fiel;;;;;;;;;x
secret_religious_society_tengri_pagan_rank_2_female;Adherent;Adhérente;Anhängerin;;Seguidora;;;;;;;;;x
secret_religious_society_tengri_pagan_rank_3_female;Preacher;Prêcheuse;Predigerin;;Predicadora;;;;;;;;;x
secret_religious_society_tengri_pagan_rank_4_female;Herald;Messagère;Heroldin;;Mensajera;;;;;;;;;x
secret_religious_society_tengri_pagan_rank_1_male;Faithful;Fidèle;Gläubiger;;Fiel;;;;;;;;;x
secret_religious_society_tengri_pagan_rank_2_male;Adherent;Adhérent;Anhänger;;Seguidor;;;;;;;;;x
secret_religious_society_tengri_pagan_rank_3_male;Preacher;Prêcheur;Prediger;;Predicador;;;;;;;;;x
secret_religious_society_tengri_pagan_rank_4_male;Herald;Messager;Herold;;Mensajero;;;;;;;;;x
secret_religious_society_aztec_rank_1_female;Faithful;Fidèle;Gläubige;;Fiel;;;;;;;;;x
secret_religious_society_aztec_rank_2_female;Adherent;Adhérente;Anhängerin;;Seguidora;;;;;;;;;x
secret_religious_society_aztec_rank_3_female;Preacher;Prêcheuse;Predigerin;;Predicadora;;;;;;;;;x
secret_religious_society_aztec_rank_4_female;Herald;Messagère;Heroldin;;Mensajera;;;;;;;;;x
secret_religious_society_aztec_rank_1_male;Faithful;Fidèle;Gläubiger;;Fiel;;;;;;;;;x
secret_religious_society_aztec_rank_2_male;Adherent;Adhérent;Anhänger;;Seguidor;;;;;;;;;x
secret_religious_society_aztec_rank_3_male;Preacher;Prêcheur;Prediger;;Predicador;;;;;;;;;x
secret_religious_society_aztec_rank_4_male;Herald;Messager;Herold;;Mensajero;;;;;;;;;x
secret_religious_society_aztec_reformed_rank_1_female;Faithful;Fidèle;Gläubige;;Fiel;;;;;;;;;x
secret_religious_society_aztec_reformed_rank_2_female;Adherent;Adhérente;Anhängerin;;Seguidora;;;;;;;;;x
secret_religious_society_aztec_reformed_rank_3_female;Preacher;Prêcheuse;Predigerin;;Predicadora;;;;;;;;;x
secret_religious_society_aztec_reformed_rank_4_female;Herald;Messagère;Heroldin;;Mensajera;;;;;;;;;x
secret_religious_society_aztec_reformed_rank_1_male;Faithful;Fidèle;Gläubiger;;Fiel;;;;;;;;;x
secret_religious_society_aztec_reformed_rank_2_male;Adherent;Adhérent;Anhänger;;Seguidor;;;;;;;;;x
secret_religious_society_aztec_reformed_rank_3_male;Preacher;Prêcheur;Prediger;;Predicador;;;;;;;;;x
secret_religious_society_aztec_reformed_rank_4_male;Herald;Messager;Herold;;Mensajero;;;;;;;;;x
secret_religious_society_west_african_pagan_rank_1_female;Faithful;Fidèle;Gläubige;;Fiel;;;;;;;;;x
secret_religious_society_west_african_pagan_rank_2_female;Adherent;Adhérente;Anhängerin;;Seguidora;;;;;;;;;x
secret_religious_society_west_african_pagan_rank_3_female;Preacher;Prêcheuse;Predigerin;;Predicadora;;;;;;;;;x
secret_religious_society_west_african_pagan_rank_4_female;Herald;Messagère;Heroldin;;Mensajera;;;;;;;;;x
secret_religious_society_west_african_pagan_rank_1_male;Faithful;Fidèle;Gläubiger;;Fiel;;;;;;;;;x
secret_religious_society_west_african_pagan_rank_2_male;Adherent;Adhérent;Anhänger;;Seguidor;;;;;;;;;x
secret_religious_society_west_african_pagan_rank_3_male;Preacher;Prêcheur;Prediger;;Predicador;;;;;;;;;x
secret_religious_society_west_african_pagan_rank_4_male;Herald;Messager;Herold;;Mensajero;;;;;;;;;x
secret_religious_society_zun_pagan_rank_1_female;Faithful;Fidèle;Gläubige;;Fiel;;;;;;;;;x
secret_religious_society_zun_pagan_rank_2_female;Adherent;Adhérente;Anhängerin;;Seguidora;;;;;;;;;x
secret_religious_society_zun_pagan_rank_3_female;Preacher;Prêcheuse;Predigerin;;Predicadora;;;;;;;;;x
secret_religious_society_zun_pagan_rank_4_female;Herald;Messagère;Heroldin;;Mensajera;;;;;;;;;x
secret_religious_society_zun_pagan_rank_1_male;Faithful;Fidèle;Gläubiger;;Fiel;;;;;;;;;x
secret_religious_society_zun_pagan_rank_2_male;Adherent;Adhérent;Anhänger;;Seguidor;;;;;;;;;x
secret_religious_society_zun_pagan_rank_3_male;Preacher;Prêcheur;Prediger;;Predicador;;;;;;;;;x
secret_religious_society_zun_pagan_rank_4_male;Herald;Messager;Herold;;Mensajero;;;;;;;;;x
secret_religious_society_cathar;the Good Christians;les Bons Chrétiens;die guten Christen;;los Buenos hombres;;;;;;;;;x
secret_religious_society_cathar_desc;Catharism is a Gnostic sect centered around a dualistic doctrine. The Good Christians', as the Cathar faithful calls themselves, believe in two Gods - the good God who is the creator of the heavenly spiritual realm and the evil God who created the physical world with all its temptations and suffering.;Le catharisme est une secte gnostique centrée autour d'une doctrine dualiste. Les bons chrétiens, comme s'appellent eux-mêmes les cathares, croient en deux dieux: le bon Dieu qui est le créateur du royaume spirituel céleste et le Dieu malin qui a créé le monde physique avec toutes ses tentations et ses souffrances.;Der Katharismus ist eine gnostische Sekte mit einer dualistischen Doktrin. Die guten Christen, wie sich die Katharer selbst nennen, glauben an zwei Götter: den guten Gott, der das spirituelle Himmelreich erschaffen hat, und den bösen Gott, der die physische Welt mit ihren Versuchungen und ihrem Leiden erschaffen hat.;;El catarismo es una secta gnóstica en torno a dos realidades opuestas. Los «Buenos hombres», como los fieles catáros se llaman a sí mismos, creen en dos dioses: el buen Dios, creador del mundo espiritual, y el dios malo, creador del mundo físico con todas sus tentaciones y sufrimiento.;;;;;;;;;x
secret_religious_society_fraticelli;the Fraticelli Faithful;les Fraticelles;die Fratizellen;;los fieles fraticelli;;;;;;;;;x
secret_religious_society_fraticelli_desc;Ever since its humble roots, Christians have marked themselves by their refusal to abandon their faith in the face of persecution. So it is that a rich tradition of martyrs and underground parishes can give hope to groups of believers in even the darkest of times, no matter what they are outwardly forced to profess. To each other they can profess their true faith in God, and their God is love.;Dès leurs humbles origines, les chrétiens ont refusé d'abandonner leur foi face à la persécution. Ainsi, une riche tradition de martyrs et de paroisses secrètes peut donner de l'espoir à des groupes de croyants, même dans les périodes les plus difficiles, peu importe la religion qu'ils sont obligés de professer publiquement. Entre eux, ils peuvent professer leur vraie foi en Dieu, et leur Dieu est amour.;Seit ihren bescheidenen Anfängen haben sich Christen durch ihre beharrliche Weigerung hervorgetan, angesichts der Verfolgung von ihrem Glauben abzulassen. Daher kann eine lange Tradition von Märtyrern und Untergrundgemeinden Gruppen von Gläubigen selbst in den finstersten Zeiten Hoffnung geben, ganz gleich, was sie durch Zwang nach außen hin bekennen müssen. Untereinander können sie ihren wahren Glauben an Gott bekennen, und ihr Gott heißt Liebe.;;Desde sus humildes orígenes, los cristianos se han caracterizado por su negativa a abandonar su fe ante la opresión. Tanto es así, que una nutrida tradición de mártires y parroquias clandestinas consigue dar esperanza a grupos de creyentes incluso en los tiempos más oscuros, sin importar qué otra fe les obliguen a profesar en público. Entre ellos pueden mostrar su verdadera fe en Dios, y su Dios es amor.;;;;;;;;;x
secret_religious_society_lollard;the Lollard Faithful;les Lollards;die Lollarden;;los fieles lolardos;;;;;;;;;x
secret_religious_society_lollard_desc;Ever since its humble roots, Christians have marked themselves by their refusal to abandon their faith in the face of persecution. So it is that a rich tradition of martyrs and underground parishes can give hope to groups of believers in even the darkest of times, no matter what they are outwardly forced to profess. To each other they can profess their true faith in God, and their God is love.;Dès leurs humbles origines, les chrétiens ont refusé d'abandonner leur foi face à la persécution. Ainsi, une riche tradition de martyrs et de paroisses secrètes peut donner de l'espoir à des groupes de croyants, même dans les périodes les plus difficiles, peu importe la religion qu'ils sont obligés de professer publiquement. Entre eux, ils peuvent professer leur vraie foi en Dieu, et leur Dieu est amour.;Seit ihren bescheidenen Anfängen haben sich Christen durch ihre beharrliche Weigerung hervorgetan, angesichts der Verfolgung von ihrem Glauben abzulassen. Daher kann eine lange Tradition von Märtyrern und Untergrundgemeinden Gruppen von Gläubigen selbst in den finstersten Zeiten Hoffnung geben, ganz gleich, was sie durch Zwang nach außen hin bekennen müssen. Untereinander können sie ihren wahren Glauben an Gott bekennen, und ihr Gott heißt Liebe.;;Desde sus humildes orígenes, los cristianos se han caracterizado por su negativa a abandonar su fe ante la opresión. Tanto es así, que una nutrida tradición de mártires y parroquias clandestinas consigue dar esperanza a grupos de creyentes incluso en los tiempos más oscuros, sin importar qué otra fe les obliguen a profesar en público. Entre ellos pueden mostrar su verdadera fe en Dios, y su Dios es amor.;;;;;;;;;x
secret_religious_society_waldensian;the Waldesian Faithful;les Vaudois;die Waldenser;;los fieles waldesianos;;;;;;;;;x
secret_religious_society_waldensian_desc;Ever since its humble roots, Christians have marked themselves by their refusal to abandon their faith in the face of persecution. So it is that a rich tradition of martyrs and underground parishes can give hope to groups of believers in even the darkest of times, no matter what they are outwardly forced to profess. To each other they can profess their true faith in God, and their God is love.;Dès leurs humbles origines, les chrétiens ont refusé d'abandonner leur foi face à la persécution. Ainsi, une riche tradition de martyrs et de paroisses secrètes peut donner de l'espoir à des groupes de croyants, même dans les périodes les plus difficiles, peu importe la religion qu'ils sont obligés de professer publiquement. Entre eux, ils peuvent professer leur vraie foi en Dieu, et leur Dieu est amour.;Seit ihren bescheidenen Anfängen haben sich Christen durch ihre beharrliche Weigerung hervorgetan, angesichts der Verfolgung von ihrem Glauben abzulassen. Daher kann eine lange Tradition von Märtyrern und Untergrundgemeinden Gruppen von Gläubigen selbst in den finstersten Zeiten Hoffnung geben, ganz gleich, was sie durch Zwang nach außen hin bekennen müssen. Untereinander können sie ihren wahren Glauben an Gott bekennen, und ihr Gott heißt Liebe.;;Desde sus humildes orígenes, los cristianos se han caracterizado por su negativa a abandonar su fe ante la opresión. Tanto es así, que una nutrida tradición de mártires y parroquias clandestinas consigue dar esperanza a grupos de creyentes incluso en los tiempos más oscuros, sin importar qué otra fe les obliguen a profesar en público. Entre ellos pueden mostrar su verdadera fe en Dios, y su Dios es amor.;;;;;;;;;x
secret_religious_society_bogomilist_desc;Bogomilism is a Gnostic sect centered around a dualistic doctrine. Its members believe in two Gods - the good God who is the creator of the heavenly spiritual realm and the evil God who created the physical world with all its temptations and suffering.;Le bogomilisme est une secte gnostique centrée autour d'une doctrine dualiste. Ses membres croient en deux dieux: le bon Dieu qui est le créateur du royaume spirituel céleste et le Dieu malin qui a créé le monde physique avec toutes ses tentations et ses souffrances.;Die Bogomilen sind eine gnostische Sekte mit einer dualistischen Doktrin. Die Anhänger dieser Sekte glauben an zwei Götter: den guten Gott, der das spirituelle Himmelreich erschaffen hat, und den bösen Gott, der die physische Welt mit ihren Versuchungen und ihrem Leiden erschaffen hat.;;El bogomilismo es una secta gnóstica en torno a una doctrina dualista. Sus miembros creen en dos dioses: el buen Dios, creador del mundo espiritual, y el dios malo, creador del mundo físico con todas sus tentaciones y sufrimiento.;;;;;;;;;x
secret_religious_society_monothelite;the Monothelite Faithful;les Monothélites;die Anhänger des Monotheletismus;;los fieles monotelitas;;;;;;;;;x
secret_religious_society_monothelite_desc;Seeing themselves as walking in the footsteps of the Apostles who first built the Church in the name of Christ, there are Christians who will not give up their faith, even when circumstance has forced them to renounce their words. They continue the good work, building their faith and their church, knowing in their hearts that they are doing God's will.;Pensant suivre les pas des apôtres qui ont construit l'Église au nom du Christ, certains chrétiens ne renoncent pas à leur foi, même quand les circonstances les forcent à ne pas l'exprimer publiquement. Ils poursuivent cette œuvre, renforçant leur foi et leur église, sachant au fond d'eux qu'ils exaucent la volonté de Dieu.;Sie sehen sich selbst als Nachfolger der Apostel, die zu Beginn im Namen von Jesus Christus die Kirche aufgebaut haben, und wenden sich auch dann nicht von ihrem Glauben ab, wenn sie durch äußere Umstände dazu gezwungen werden, ihre Lehren zu verleugnen. Sie setzen ihr gutes Werk und den Aufbau ihres Glaubens und ihrer Kirche fort, da sie in ihren Herzen wissen, dass sie den Willen von Gott verrichten.;;Hay cristianos que se ven a sí mismos siguiendo los pasos de los apóstoles que fundaron la Iglesia en nombre de Cristo, y que no renunciarán a su fe, aun cuando las circunstancias los han forzado a callar sus plegarias. Continúan con su buena labor, construyendo su fe y su iglesia, sabiendo en lo más profundo de su alma que están siguiendo la voluntad de Dios.;;;;;;;;;x
secret_religious_society_iconoclast;the Breakers of Icons;les Briseurs d'icônes;die Ikonenzerstörer;;los rompedores de imágenes;;;;;;;;;x
secret_religious_society_iconoclast_desc;Seeing themselves as walking in the footsteps of the Apostles who first built the Church in the name of Christ, there are Christians who will not give up their faith, even when circumstance has forced them to renounce their words. They continue the good work, building their faith and their church, knowing in their hearts that they are doing God's will.;Pensant suivre les pas des apôtres qui ont construit l'Église au nom du Christ, certains chrétiens ne renoncent pas à leur foi, même quand les circonstances les forcent à ne pas l'exprimer publiquement. Ils poursuivent cette œuvre, renforçant leur foi et leur église, sachant au fond d'eux qu'ils exaucent la volonté de Dieu.;Sie sehen sich selbst als Nachfolger der Apostel, die zu Beginn im Namen von Jesus Christus die Kirche aufgebaut haben, und wenden sich auch dann nicht von ihrem Glauben ab, wenn sie durch äußere Umstände dazu gezwungen werden, ihre Lehren zu verleugnen. Sie setzen ihr gutes Werk und den Aufbau ihres Glaubens und ihrer Kirche fort, da sie in ihren Herzen wissen, dass sie den Willen von Gott verrichten.;;Hay cristianos que se ven a sí mismos siguiendo los pasos de los apóstoles que fundaron la Iglesia en nombre de Cristo, y que no renunciarán a su fe, aun cuando las circunstancias los han forzado a callar sus plegarias. Continúan con su buena labor, construyendo su fe y su iglesia, sabiendo en lo hondo de su alma que están siguiendo la voluntad de Dios.;;;;;;;;;x
secret_religious_society_paulician;the Paulician Faithful;les Pauliciens;die Paulikianer;;los fieles paulicianos;;;;;;;;;x
secret_religious_society_paulician_desc;Paulicianism is a Gnostic sect centered around a dualistic doctrine. Its members believe in two Gods - the good God who is the creator of the heavenly spiritual realm and the evil God who created the physical world with all its temptations and suffering.;Le paulicisme est une secte gnostique centrée autour d'une doctrine dualiste. Ses membres croient en deux dieux: le bon Dieu qui est le créateur du royaume spirituel céleste et le Dieu malin qui a créé le monde physique avec toutes ses tentations et ses souffrances.;Die Paulikianer sind eine gnostische Sekte mit einer dualistischen Doktrin. Die Anhänger dieser Sekte glauben an zwei Götter: den guten Gott, der das spirituelle Himmelreich erschaffen hat, und den bösen Gott, der die physische Welt mit ihren Versuchungen und ihrem Leiden erschaffen hat.;;El paulicianismo es una secta gnóstica en torno a una doctrina dualista. Sus miembros creen en dos dioses: el buen Dios, creador del mundo espiritual, y el dios malo, creador del mundo físico con todas sus tentaciones y sufrimiento.;;;;;;;;;x
secret_religious_society_miaphysite;the Miaphysite Faithful;les Miaphysite;die Miaphysiten;;los fieles miafisitas;;;;;;;;;x
secret_religious_society_miaphysite_desc;Seeing themselves as walking in the footsteps of the Apostles who first built the Church in the name of Christ, there are Christians who will not give up their faith, even when circumstance has forced them to renounce their words. They continue the good work, building their faith and their church, knowing in their hearts that they are doing God's will.;Pensant suivre les pas des apôtres qui ont construit l'Église au nom du Christ, certains chrétiens ne renoncent pas à leur foi, même quand les circonstances les forcent à ne pas l'exprimer publiquement. Ils poursuivent cette œuvre, renforçant leur foi et leur église, sachant au fond d'eux qu'ils exaucent la volonté de Dieu.;Sie sehen sich selbst als Nachfolger der Apostel, die zu Beginn im Namen von Jesus Christus die Kirche aufgebaut haben, und wenden sich auch dann nicht von ihrem Glauben ab, wenn sie durch äußere Umstände dazu gezwungen werden, ihre Lehren zu verleugnen. Sie setzen ihr gutes Werk und den Aufbau ihres Glaubens und ihrer Kirche fort, da sie in ihren Herzen wissen, dass sie den Willen von Gott verrichten.;;Hay cristianos que se ven a sí mismos siguiendo los pasos de los apóstoles que fundaron la Iglesia en nombre de Cristo, y que no renunciarán a su fe, aun cuando las circunstancias los han forzado a callar sus plegarias. Continúan con su buena labor, construyendo su fe y su iglesia, sabiendo en lo hondo de su alma que están siguiendo la voluntad de Dios.;;;;;;;;;x
secret_religious_society_monophysite;the Monophysite Faithful;les Monophysites;die Monophysiten;;los fieles monofisitas;;;;;;;;;x
secret_religious_society_monophysite_desc;Seeing themselves as walking in the footsteps of the Apostles who first built the Church in the name of Christ, there are Christians who will not give up their faith, even when circumstance has forced them to renounce their words. They continue the good work, building their faith and their church, knowing in their hearts that they are doing God's will.;Pensant suivre les pas des apôtres qui ont construit l'Église au nom du Christ, certains chrétiens ne renoncent pas à leur foi, même quand les circonstances les forcent à ne pas l'exprimer publiquement. Ils poursuivent cette œuvre, renforçant leur foi et leur église, sachant au fond d'eux qu'ils exaucent la volonté de Dieu.;Sie sehen sich selbst als Nachfolger der Apostel, die zu Beginn im Namen von Jesus Christus die Kirche aufgebaut haben, und wenden sich auch dann nicht von ihrem Glauben ab, wenn sie durch äußere Umstände dazu gezwungen werden, ihre Lehren zu verleugnen. Sie setzen ihr gutes Werk und den Aufbau ihres Glaubens und ihrer Kirche fort, da sie in ihren Herzen wissen, dass sie den Willen von Gott verrichten.;;Hay cristianos que se ven a sí mismos siguiendo los pasos de los apóstoles que fundaron la Iglesia en nombre de Cristo, y que no renunciarán a su fe, aun cuando las circunstancias los han forzado a callar sus plegarias. Continúan con su buena labor, construyendo su fe y su iglesia, sabiendo en lo hondo de su alma que están siguiendo la voluntad de Dios.;;;;;;;;;x
secret_religious_society_nestorian;the Nestorian Faithful;les Nestoriens;die Nestorianer;;los fieles nestorianos;;;;;;;;;x
secret_religious_society_nestorian_desc;Seeing themselves as walking in the footsteps of the Apostles who first built the Church in the name of Christ, there are Christians who will not give up their faith, even when circumstance has forced them to renounce their words. They continue the good work, building their faith and their church, knowing in their hearts that they are doing God's will.;Pensant suivre les pas des apôtres qui ont construit l'Église au nom du Christ, certains chrétiens ne renoncent pas à leur foi, même quand les circonstances les forcent à ne pas l'exprimer publiquement. Ils poursuivent cette œuvre, renforçant leur foi et leur église, sachant au fond d'eux qu'ils exaucent la volonté de Dieu.;Sie sehen sich selbst als Nachfolger der Apostel, die zu Beginn im Namen von Jesus Christus die Kirche aufgebaut haben, und wenden sich auch dann nicht von ihrem Glauben ab, wenn sie durch äußere Umstände dazu gezwungen werden, ihre Lehren zu verleugnen. Sie setzen ihr gutes Werk und den Aufbau ihres Glaubens und ihrer Kirche fort, da sie in ihren Herzen wissen, dass sie den Willen von Gott verrichten.;;Hay cristianos que se ven a sí mismos siguiendo los pasos de los apóstoles que fundaron la Iglesia en nombre de Cristo, y que no renunciarán a su fe, aun cuando las circunstancias los han forzado a callar sus plegarias. Continúan con su buena labor, construyendo su fe y su iglesia, sabiendo en lo hondo de su alma que están siguiendo la voluntad de Dios.;;;;;;;;;x
secret_religious_society_messalian;the Messalian Faithful;les Messaliens;die Messalianer;;los fieles mesalianos;;;;;;;;;x
secret_religious_society_messalian_desc;The Messalians, 'the ones who pray', are a Christian sect. They believe that perfection can only be attained by perceiving God as He reveals Himself to the carnal senses. To bring forth such revelations, the only path is prayer - neither the church, baptism or any other sacrament can drive the desires from the soul and invite God.;Les messaliens, « ceux qui prient », sont une secte chrétienne. Ils croient que la perfection ne peut être atteinte qu'en percevant Dieu lorsqu'il se révèle aux cinq sens. Pour faire naître ces révélations, le seul chemin est la prière - ni l'Église, ni le baptême, ni aucun autre sacrement ne peut chasser les désirs de l'âme et inviter Dieu.;Die Messalianer (die Betenden) sind eine christliche Sekte. Sie glauben, dass Perfektion nur durch die Wahrnehmung Gottes, wie er sich den fleischlichen Sinnen offenbart, erlangt werden kann. Der einzige Weg zur Hervorrufung solcher Offenbarungen ist das Gebet und weder die Kirche noch die Taufe noch ein anderes Sakrament kann die Begierden aus der Seele treiben und Gott herbeirufen.;;Los mesalianos, «quienes no rezan», son una secta cristiana. Creen que la perfección solo puede alcanzarse percibiendo a Dios por sus revelaciones a través de los sentidos carnales. El único camino para que se produzcan esas revelaciones es la oración: ni la Iglesia, ni el bautismo ni ningún otro sacramento puede impulsar los deseos del alma e invitar a Dios.;;;;;;;;;x
secret_religious_society_zikri;the Zikri Faithful;les Zikris;die Zikris;;los fieles zikris;;;;;;;;;x
secret_religious_society_zikri_desc;The Zikris follow the teachings of the Quran, believed to have been verbally recited to Muhammed by God. They will proclaim that Muhammed is chosen by God, as prophet and the first Imam.;Les zikris suivent les enseignements du Coran, censés avoir été verbalement transmis à Mahomet par Dieu. Ils affirmeront que Mahomet a été choisi par Dieu, en tant que prophète et premier imam.;Die Zikris folgen den Lehren des Korans, von denen sie glauben, Mohammed habe sie von Allah selbst erfahren. Sie behaupten, Mohammed sei von Allah als Prophet und erster Imam auserwählt worden.;;Los zikris siguen en secreto las enseñanzas del Corán, cuyo contenido se cree que Dios recitó a Mahoma. Proclaman que Mahoma es el elegido de Dios, como profeta y como el primer imán.;;;;;;;;;x
secret_religious_society_yazidi;the Children of Angels;les Enfants des Anges;die Kinder von Engeln;;los hijos de los ángeles;;;;;;;;;x
secret_religious_society_yazidi_desc;The Yazidis believe that God created the world and tasked seven holy angels with its care. The first of the angels is the ambivalent Melek Taus, the Peacock Angel, a ruler who causes both good and bad to befall his mortal subjects.;Les yézidis croient que Dieu a créé le monde et l'a assigné à sept anges. Le premier des anges est l'ambivalent Malek Taous, l'ange paon, un souverain à l'origine du bien et du mal frappant ses sujets mortels.;Die Jesiden glauben, dass Gott die Welt erschaffen und sieben heilige Engel damit beauftragt habe, sich um die Welt zu kümmern. Der erste dieser Engel ist der ambivalente Melek Taus, der Pfauenengel, ein Herrscher, der sowohl für das Glück als auch für das Unglück verantwortlich ist, das seinen sterblichen Untertanen widerfährt.;;Los yazidíes creen que Dios creó el mundo y lo puso al cuidado de siete ángeles sagrados. El primero de estos ángeles es Melek Taus, «el ángel pavo real», un líder que provoca el bien y el mal sobre sus sujetos mortales.;;;;;;;;;x
secret_religious_society_druze;the Wise;les Sages;die Weisen;;los sabios;;;;;;;;;x
secret_religious_society_druze_desc;The Druze follow the teachings of the Epistles of Wisdom, which includes the Old Testament, the Qur'an and the philosophical works by Plato. The faithful believe that God is the whole of existence, unlimited and omnipresent. To unite with the Cosmic Mind and reach ultimate happiness, a Druze must live through many successive reincarnations.;Les druzes suivent les enseignements des Épîtres de la Sagesse, qui comprennent l'Ancien Testament, le Coran et les œuvres philosophiques de Platon. Ils croient que Dieu est illimité et omniprésent. Pour s'unir avec l'Esprit cosmique et atteindre le bonheur ultime, un druze doit vivre à travers de nombreuses réincarnations successives.;Die Drusen folgen den Lehren der Episteln der Weisheit, zu denen das Alte Testament, der Koran und die philosophischen Werke von Plato gehören. Die Anhänger dieser Sekte glauben, dass Gott die Gesamtheit der Existenz bildet und grenzenlos und allgegenwärtig ist. Um sich mit dem kosmischen Geist zu vereinen und höchste Glückseligkeit zu erlangen, muss ein Druse viele Reinkarnationen durchleben.;;Los drusos siguen las enseñanzas de las Epístolas de Sabiduría, que incluyen el Antiguo Testamento, el Corán y las obras filosóficas de Platón. Sus fieles creen que Dios es la existencia absoluta, ilimitada y omnipresente. Para unirse con la Mente Cósmica y alcanzar la felicidad verdadera, la vida de un druso debe pasar por muchas reencarnaciones sucesivas.;;;;;;;;;x
secret_religious_society_hurufi;the Hurufi Faithful;les Hurufites;die Hurufi;;los fieles hurufíes;;;;;;;;;x
secret_religious_society_hurufi_desc;The Hurufi follow the teachings of the Quran, believed to have been verbally recited to Muhammed by God. They will proclaim that Muhammed is chosen by God, as prophet and the first Imam. They spread their belief that God, through Muhammed, chose Ali as his successor, and thus the first caliph of the state of Islam. They will stand by what they believe to be the true word of God.;Les hurufites suivent les enseignements du Coran, censés avoir été verbalement transmis à Mahomet par Dieu. Ils affirmeront que Mahomet a été choisi par Dieu, en tant que prophète et premier imam. Ils répandent leur croyance que Dieu, par Mahomet, a choisi Ali comme son successeur, et donc comme premier calife de l'État de l'Islam. Ils resteront fidèles à ce qu'ils croient être la vraie Parole de Dieu.;Die Hurufi folgen den Lehren des Korans, von denen sie glauben, Mohammed habe sie von Allah selbst erfahren. Sie behaupten, Mohammed sei von Allah als Prophet und erster Imam auserwählt worden. Sie verbreiten ihren Glauben, Allah habe Ali durch Mohammed zu seinem Nachfolger und somit zum ersten Kalifen des Islamischen Staates erwählt. Sie sind felsenfest davon überzeugt, dass alles, was sie glauben, dem wahren Wort von Allah entspricht.;;Los hurufíes siguen en secreto las enseñanzas del Corán, cuyo contenido se cree que Dios recitó a Mahoma. Proclaman que Mahoma es el elegido de Dios, como profeta y como el primer imán. Profesan la creencia de que Dios, a través de Mahoma, eligió a Alí como su sucesor y, por ende, como primer califa del estado islámico. Se mantienen firmes sobre lo que creen que es la verdadera palabra de Dios.;;;;;;;;;x
secret_religious_society_ibadi;the Ibadi Faithful;les Ibadites;die Ibadi;;los fieles ibadíes;;;;;;;;;x
